,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,THAT'S A JOKE,27a0ydWvFCt4jgl9m61lS1,229656,https://open.spotify.com/track/27a0ydWvFCt4jgl9m61lS1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:46:11Z,0.788,0.933,9,-2.664,0.298,0.599,0.0,0.685,0.6,139.016
1,Grindin',3m6HMeFX6GIlGPMBcLEN6t,277293,https://open.spotify.com/track/3m6HMeFX6GIlGPMBcLEN6t,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5BfKKSmpGmj2moMNlaWeJK'}, 'href': 'https://api.spotify.com/v1/artists/5BfKKSmpGmj2moMNlaWeJK', 'id': '5BfKKSmpGmj2moMNlaWeJK', 'name': 'Marty', 'type': 'artist', 'uri': 'spotify:artist:5BfKKSmpGmj2moMNlaWeJK'}]",2022-10-04T04:43:28Z,0.677,0.732,1,-6.86,0.171,0.194,0.0,0.0907,0.32,110.085
2,JUST LIKE YOU,7tTRFVlFzk6yTnoMcParmi,251236,https://open.spotify.com/track/7tTRFVlFzk6yTnoMcParmi,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:31:31Z,0.775,0.757,9,-4.607,0.228,0.489,0.0,0.28,0.541,140.044
3,CLOUDS,1mvI5pGoh84IiFSbWxEkGH,243760,https://open.spotify.com/track/1mvI5pGoh84IiFSbWxEkGH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:26:56Z,0.788,0.652,1,-3.931,0.405,0.373,0.0,0.755,0.812,128.108
4,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,260253,https://open.spotify.com/track/5PdEiev2BkKiZtZFcNKjfM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:20:48Z,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
5,When I Grow Up,5rLyYxZNzca00ENADO9m54,196800,https://open.spotify.com/track/5rLyYxZNzca00ENADO9m54,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:17:08Z,0.817,0.814,2,-3.985,0.185,0.32,0.0,0.152,0.247,109.994
6,My Stress,0aQA9DP54h37OevE7hRc2a,252711,https://open.spotify.com/track/0aQA9DP54h37OevE7hRc2a,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:09:06Z,0.653,0.796,7,-4.05,0.245,0.24,0.0,0.108,0.405,160.026
7,Leave Me Alone,3EtyEzMpfKSaoVhPunvbRV,308651,https://open.spotify.com/track/3EtyEzMpfKSaoVhPunvbRV,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:06:08Z,0.722,0.741,1,-3.72,0.19,0.249,0.0,0.151,0.46,162.11
8,Muramasa,75yKCtGs2x1rcMBiRQAdYX,144000,https://open.spotify.com/track/75yKCtGs2x1rcMBiRQAdYX,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yu4VilcxpQ6h35vRcemBp'}, 'href': 'https://api.spotify.com/v1/artists/3yu4VilcxpQ6h35vRcemBp', 'id': '3yu4VilcxpQ6h35vRcemBp', 'name': 'Tenno', 'type': 'artist', 'uri': 'spotify:artist:3yu4VilcxpQ6h35vRcemBp'}]",2022-10-02T20:32:55Z,0.721,0.486,7,-9.942,0.197,0.777,0.822,0.106,0.183,150.087
9,Costa Rica (feat. The Kid LAROI) - Remix,3tdjTdCCgKtwacsICCtPZZ,114865,https://open.spotify.com/track/3tdjTdCCgKtwacsICCtPZZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Yr4BBpK2dkCp2UsrJ9LZN'}, 'href': 'https://api.spotify.com/v1/artists/0Yr4BBpK2dkCp2UsrJ9LZN', 'id': '0Yr4BBpK2dkCp2UsrJ9LZN', 'name': 'Bankrol Hayden', 'type': 'artist', 'uri': 'spotify:artist:0Yr4BBpK2dkCp2UsrJ9LZN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J'}, 'href': 'https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J', 'id': '2tIP7SsRs7vjIcLrU85W8J', 'name': 'The Kid LAROI', 'type': 'artist', 'uri': 'spotify:artist:2tIP7SsRs7vjIcLrU85W8J'}]",2022-10-01T17:33:44Z,0.89,0.53,9,-9.891,0.362,0.165,0.0,0.106,0.644,127.889
