,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Fear Inoculum,39zWYYZStDgWi32sOU9AX4,620101,https://open.spotify.com/track/39zWYYZStDgWi32sOU9AX4,0.31,0.584,7,-10.091,0.042,0.000827,0.512,0.0528,0.16,86.913
1,Pneuma,03sEzk1VyrUZSgyhoQR0LZ,713191,https://open.spotify.com/track/03sEzk1VyrUZSgyhoQR0LZ,0.415,0.53,9,-9.338,0.0314,0.00209,0.75,0.11,0.0586,114.174
2,Litanie contre la Peur,4qE9yOgBNsARadpZTAb6RH,134490,https://open.spotify.com/track/4qE9yOgBNsARadpZTAb6RH,0.0729,0.0137,0,-22.812,0.047,0.979,0.956,0.0869,0.037,78.824
3,Invincible,2xKDKtJBLDPd7BF3VmSQQO,764456,https://open.spotify.com/track/2xKDKtJBLDPd7BF3VmSQQO,0.459,0.567,9,-9.133,0.0571,0.00989,0.786,0.109,0.389,87.477
4,Legion Inoculant,48C0O5CXfQdfjUCUhOs1YP,189979,https://open.spotify.com/track/48C0O5CXfQdfjUCUhOs1YP,0.2,0.144,0,-19.048,0.0461,0.00225,0.942,0.221,0.0262,79.702
5,Descending,0aTiUssEOy0Mt69bsavj6K,817832,https://open.spotify.com/track/0aTiUssEOy0Mt69bsavj6K,0.33,0.611,10,-9.571,0.0495,0.00219,0.769,0.107,0.241,172.606
6,Culling Voices,3gPxMQWDMSEyPXMtzbcDdQ,605369,https://open.spotify.com/track/3gPxMQWDMSEyPXMtzbcDdQ,0.253,0.449,11,-12.066,0.0352,0.0452,0.789,0.139,0.0386,156.286
7,Chocolate Chip Trip,3VcEEhf6NL8oq2e1IxFUVM,288198,https://open.spotify.com/track/3VcEEhf6NL8oq2e1IxFUVM,0.59,0.764,1,-9.588,0.0465,0.0343,0.624,0.285,0.178,128.303
8,7empest,0gGfmw4csswZmFPj9YK8GW,943528,https://open.spotify.com/track/0gGfmw4csswZmFPj9YK8GW,0.323,0.804,7,-7.397,0.0369,7.35e-05,0.835,0.0957,0.384,144.756
9,Mockingbeat,5aDylkK93g6SvfTPJTXq4L,125938,https://open.spotify.com/track/5aDylkK93g6SvfTPJTXq4L,0.542,0.446,7,-19.297,0.552,0.177,0.0006,0.0864,0.0887,115.258
10,The Grudge,6ZsZxNP4Iwdyp3kd5oFFQN,515080,https://open.spotify.com/track/6ZsZxNP4Iwdyp3kd5oFFQN,0.423,0.795,2,-7.408,0.0374,0.000162,0.843,0.269,0.307,96.045
11,Eon Blue Apocalypse,5aVJ5rv7ghWSkQaqP726tE,64293,https://open.spotify.com/track/5aVJ5rv7ghWSkQaqP726tE,0.158,0.0449,7,-26.389,0.0377,0.143,0.845,0.413,0.0699,104.11
12,The Patient,0Klbxk3g96Qae4DbCnUNcT,433920,https://open.spotify.com/track/0Klbxk3g96Qae4DbCnUNcT,0.458,0.526,9,-9.773,0.0338,0.00151,0.752,0.102,0.388,110.767
13,Mantra,4KVTRIZIj1WWIxitbREDnK,72680,https://open.spotify.com/track/4KVTRIZIj1WWIxitbREDnK,0.254,0.0112,0,-36.756,0.0325,0.799,0.994,0.1,0.0381,61.415
14,Schism,55mJleti2WfWEFNFcBduhc,403533,https://open.spotify.com/track/55mJleti2WfWEFNFcBduhc,0.567,0.714,9,-8.512,0.0302,0.0012,0.417,0.186,0.191,107.441
15,Parabol,3EeoMkZF8NhX9FdCSxG8MB,184573,https://open.spotify.com/track/3EeoMkZF8NhX9FdCSxG8MB,0.283,0.0489,9,-24.949,0.0413,0.545,0.307,0.0897,0.0886,76.128
16,Parabola,1vxu8vMNshg5J8z3oA7QJZ,363680,https://open.spotify.com/track/1vxu8vMNshg5J8z3oA7QJZ,0.314,0.929,9,-6.238,0.105,2.03e-05,0.516,0.139,0.285,100.935
17,Ticks & Leeches,0Cnx6PGogxIE2RnDcnoeK8,487546,https://open.spotify.com/track/0Cnx6PGogxIE2RnDcnoeK8,0.344,0.717,9,-9.427,0.0639,9.38e-05,0.793,0.0663,0.276,99.073
18,Lateralus,7tvuLLroI0n6uYBWuFig5d,562706,https://open.spotify.com/track/7tvuLLroI0n6uYBWuFig5d,0.387,0.677,0,-8.399,0.084,0.00108,0.871,0.101,0.371,172.812
19,Disposition,1FRlNrHd4OGNIEVgFuX9Fu,286266,https://open.spotify.com/track/1FRlNrHd4OGNIEVgFuX9Fu,0.683,0.228,9,-18.027,0.0451,0.061,0.845,0.114,0.193,117.165
20,Reflection,0R7HFX1LW3E0ZR5BnAJLHz,667960,https://open.spotify.com/track/0R7HFX1LW3E0ZR5BnAJLHz,0.357,0.662,7,-10.257,0.0406,0.00349,0.743,0.105,0.559,90.385
21,Triad,2D9rd6TIpqmDkog5Mx8kxl,395906,https://open.spotify.com/track/2D9rd6TIpqmDkog5Mx8kxl,0.283,0.825,9,-9.289,0.0597,1.13e-05,0.844,0.125,0.479,106.285
22,Faaip De Oiad,3oEgMtjTzGgXTFdO0IW2M7,161173,https://open.spotify.com/track/3oEgMtjTzGgXTFdO0IW2M7,0.237,0.971,3,-12.596,0.106,0.327,0.00119,0.914,0.0227,109.464
23,Stinkfist,0pwObEOHolQZSldJ2q1wpy,312120,https://open.spotify.com/track/0pwObEOHolQZSldJ2q1wpy,0.286,0.728,0,-6.608,0.0616,0.000174,0.836,0.133,0.467,171.441
24,Eulogy,0RVFjx2HwbHcl5SCSADpFP,505146,https://open.spotify.com/track/0RVFjx2HwbHcl5SCSADpFP,0.479,0.646,4,-9.059,0.148,0.00559,0.784,0.0985,0.356,180.738
25,H.,5fYzuUxtcaJaRRaxMoM2DT,367133,https://open.spotify.com/track/5fYzuUxtcaJaRRaxMoM2DT,0.552,0.471,2,-9.776,0.0372,0.0222,0.601,0.125,0.0897,100.266
26,Useful Idiot,5Ca9qZBftB2kGmuUOoJoea,38760,https://open.spotify.com/track/5Ca9qZBftB2kGmuUOoJoea,0.282,0.488,10,-24.646,0.714,1.18e-05,0.532,0.445,0.104,187.92
27,Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r,363066,https://open.spotify.com/track/6AioOohg4bQZFA4jIYQQ2r,0.375,0.682,0,-6.898,0.0364,0.00152,0.598,0.0897,0.396,159.23
28,Message To Harry Manback,13aTOYQ4xvj84VACPu9zur,113226,https://open.spotify.com/track/13aTOYQ4xvj84VACPu9zur,0.421,0.116,4,-32.727,0.0443,0.991,0.865,0.104,0.525,91.559
29,Hooker With A Penis,3S4G4SL15Cp4CvAfmye8um,273826,https://open.spotify.com/track/3S4G4SL15Cp4CvAfmye8um,0.25,0.91,7,-7.363,0.155,0.00129,0.553,0.149,0.274,90.835
30,Intermission,56IPgOpV9w1suGl7Lu9qeZ,56000,https://open.spotify.com/track/56IPgOpV9w1suGl7Lu9qeZ,0.484,0.0136,7,-26.645,0.0603,0.929,0.931,0.295,0.953,59.378
31,Jimmy,09KJ3XQZ9RQ5prbSp59Wbc,324426,https://open.spotify.com/track/09KJ3XQZ9RQ5prbSp59Wbc,0.477,0.688,7,-8.256,0.0373,0.00746,0.213,0.131,0.455,126.3
32,Die Eier von Satan,2uzCJ4ckvFhv6F9Q1CMkys,137360,https://open.spotify.com/track/2uzCJ4ckvFhv6F9Q1CMkys,0.744,0.588,1,-7.411,0.0833,0.0183,0.0146,0.1,0.386,94.16
33,Pushit,4CbHM5bpfOfMNxNgVDHJRw,595613,https://open.spotify.com/track/4CbHM5bpfOfMNxNgVDHJRw,0.354,0.626,7,-8.437,0.0358,0.00051,0.564,0.0798,0.175,119.582
34,Cesaro Summability,6xttnk5U2VMVCaihaD0RPE,86226,https://open.spotify.com/track/6xttnk5U2VMVCaihaD0RPE,0.342,0.343,11,-21.736,0.191,0.000799,0.779,0.0832,0.196,115.38
35,Ænema,0nLOl4fSiBZKGFla5pLUtf,399266,https://open.spotify.com/track/0nLOl4fSiBZKGFla5pLUtf,0.335,0.849,0,-6.927,0.321,0.00193,0.254,0.0928,0.256,181.716
36,(-) Ions,0KCdkjFn7as5rME8dInqGQ,240573,https://open.spotify.com/track/0KCdkjFn7as5rME8dInqGQ,0.221,0.566,9,-24.483,0.596,0.938,0.693,0.323,0.0301,105.209
37,Third Eye,2Dqg2mRbfIVKhBZleNrgmH,831440,https://open.spotify.com/track/2Dqg2mRbfIVKhBZleNrgmH,0.358,0.628,7,-9.685,0.0556,0.00586,0.471,0.111,0.262,108.441
38,Intolerance,2cF1W1G0sERJu0Y49tGjnx,294026,https://open.spotify.com/track/2cF1W1G0sERJu0Y49tGjnx,0.412,0.941,7,-7.566,0.0689,1.32e-05,0.286,0.159,0.205,101.892
39,Prison Sex,6bBfqZW47dwndIfYQcB0VR,296320,https://open.spotify.com/track/6bBfqZW47dwndIfYQcB0VR,0.49,0.78,11,-8.535,0.131,0.000288,0.0196,0.108,0.387,108.137
40,Sober,6DyywdbmTzlmXBzG9ym7Rt,306853,https://open.spotify.com/track/6DyywdbmTzlmXBzG9ym7Rt,0.385,0.673,2,-8.182,0.0329,0.000183,0.149,0.0721,0.187,149.271
41,Bottom,46XOHK5QfCC83yg5SOGjZk,433813,https://open.spotify.com/track/46XOHK5QfCC83yg5SOGjZk,0.372,0.697,2,-7.278,0.0348,5.65e-05,0.888,0.125,0.278,139.51
42,Crawl Away,1KCndc1SfLo9i9YWXdjy9D,330426,https://open.spotify.com/track/1KCndc1SfLo9i9YWXdjy9D,0.348,0.794,11,-7.99,0.0416,1.72e-05,0.448,0.393,0.654,155.954
43,Swamp Song,5q4L6JyoEY3VN5pOSbgjS8,331853,https://open.spotify.com/track/5q4L6JyoEY3VN5pOSbgjS8,0.639,0.68,2,-6.735,0.0335,0.000683,0.199,0.119,0.37,129.092
44,Undertow,4Wvnm0J3Zz9cmMdEMMghGA,322016,https://open.spotify.com/track/4Wvnm0J3Zz9cmMdEMMghGA,0.36,0.797,2,-6.623,0.0538,8.13e-05,0.805,0.278,0.474,171.523
45,4°,1LXQ7xqksXo4q4r5oCxW7M,362889,https://open.spotify.com/track/1LXQ7xqksXo4q4r5oCxW7M,0.427,0.714,9,-7.967,0.052,0.000376,0.661,0.187,0.239,113.603
46,Flood,1ZzzgXjX1bHroTSMoShdMe,467853,https://open.spotify.com/track/1ZzzgXjX1bHroTSMoShdMe,0.422,0.691,2,-7.983,0.0557,0.000169,0.606,0.0284,0.119,142.908
47,Disgustipated,4rEMNX61UlQInnHB8f3SX1,947002,https://open.spotify.com/track/4rEMNX61UlQInnHB8f3SX1,0.393,0.27,5,-18.955,0.455,0.217,0.159,0.0766,0.036,140.892
48,Sweat,3vjHuVFZGC0Bm2Ud0wNpgs,227173,https://open.spotify.com/track/3vjHuVFZGC0Bm2Ud0wNpgs,0.338,0.862,9,-7.599,0.0548,0.000302,0.787,0.0961,0.306,152.226
49,Hush,1icudzJCEUyjOVYzw7emST,168293,https://open.spotify.com/track/1icudzJCEUyjOVYzw7emST,0.46,0.921,9,-6.478,0.067,6.49e-05,0.643,0.0648,0.566,166.589
50,Part Of Me,2iL5ns7JhMGFSGpfQ3HQ6k,197733,https://open.spotify.com/track/2iL5ns7JhMGFSGpfQ3HQ6k,0.482,0.88,5,-6.914,0.0966,0.000245,0.311,0.149,0.269,170.065
51,Cold And Ugly - Live,7ajn3mKu2DP8CoqzpHEr1d,249200,https://open.spotify.com/track/7ajn3mKu2DP8CoqzpHEr1d,0.262,0.965,2,-5.565,0.135,0.000409,0.184,0.585,0.138,180.633
