,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,THAT'S A JOKE,27a0ydWvFCt4jgl9m61lS1,229656,https://open.spotify.com/track/27a0ydWvFCt4jgl9m61lS1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:46:11Z,0.788,0.933,9,-2.664,0.298,0.599,0.0,0.685,0.6,139.016
4,4,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,260253,https://open.spotify.com/track/5PdEiev2BkKiZtZFcNKjfM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:20:48Z,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
5,5,When I Grow Up,5rLyYxZNzca00ENADO9m54,196800,https://open.spotify.com/track/5rLyYxZNzca00ENADO9m54,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:17:08Z,0.817,0.814,2,-3.985,0.185,0.32,0.0,0.152,0.247,109.994
15,15,Maniac,20ZUe6IViJpDMMvJlugC9i,137600,https://open.spotify.com/track/20ZUe6IViJpDMMvJlugC9i,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7kiCkMJHLchcrQByu2yHDk'}, 'href': 'https://api.spotify.com/v1/artists/7kiCkMJHLchcrQByu2yHDk', 'id': '7kiCkMJHLchcrQByu2yHDk', 'name': 'Anthony Ortiz', 'type': 'artist', 'uri': 'spotify:artist:7kiCkMJHLchcrQByu2yHDk'}]",2022-09-28T22:29:37Z,0.531,0.893,1,-4.736,0.0426,0.000208,0.0,0.325,0.809,150.027
53,53,ALRIGHT*,2t5C1Qlfmo4cSc4Zburcrh,159520,https://open.spotify.com/track/2t5C1Qlfmo4cSc4Zburcrh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7igrDEryu1H8kwrg2jMP06'}, 'href': 'https://api.spotify.com/v1/artists/7igrDEryu1H8kwrg2jMP06', 'id': '7igrDEryu1H8kwrg2jMP06', 'name': 'AVGOTDRIP', 'type': 'artist', 'uri': 'spotify:artist:7igrDEryu1H8kwrg2jMP06'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7j8MiVdcaaVpUvhkXWwYDT'}, 'href': 'https://api.spotify.com/v1/artists/7j8MiVdcaaVpUvhkXWwYDT', 'id': '7j8MiVdcaaVpUvhkXWwYDT', 'name': 'Yung Kage', 'type': 'artist', 'uri': 'spotify:artist:7j8MiVdcaaVpUvhkXWwYDT'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4jtsFTEnLnF4zDZaBWrH6L'}, 'href': 'https://api.spotify.com/v1/artists/4jtsFTEnLnF4zDZaBWrH6L', 'id': '4jtsFTEnLnF4zDZaBWrH6L', 'name': 'void', 'type': 'artist', 'uri': 'spotify:artist:4jtsFTEnLnF4zDZaBWrH6L'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1FM51jrhnvagSuGSUv3kS2'}, 'href': 'https://api.spotify.com/v1/artists/1FM51jrhnvagSuGSUv3kS2', 'id': '1FM51jrhnvagSuGSUv3kS2', 'name': 'Yumi', 'type': 'artist', 'uri': 'spotify:artist:1FM51jrhnvagSuGSUv3kS2'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2YHPVKeJcX02OyeNneU5v3'}, 'href': 'https://api.spotify.com/v1/artists/2YHPVKeJcX02OyeNneU5v3', 'id': '2YHPVKeJcX02OyeNneU5v3', 'name': 'XANAKIN SKYWOK', 'type': 'artist', 'uri': 'spotify:artist:2YHPVKeJcX02OyeNneU5v3'}]",2022-09-14T20:35:47Z,0.696,0.913,7,-3.218,0.228,0.0817,0.0,0.0501,0.862,166.858
57,57,Zoom!,1Vv93qCC50ckZdeXh7Etln,127741,https://open.spotify.com/track/1Vv93qCC50ckZdeXh7Etln,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3ZHU5AKrUmIPnCFfr82QER'}, 'href': 'https://api.spotify.com/v1/artists/3ZHU5AKrUmIPnCFfr82QER', 'id': '3ZHU5AKrUmIPnCFfr82QER', 'name': '1nonly', 'type': 'artist', 'uri': 'spotify:artist:3ZHU5AKrUmIPnCFfr82QER'}]",2022-09-14T02:17:46Z,0.728,0.482,1,-10.433,0.107,0.0634,0.0,0.293,0.845,124.069
60,60,Go!,4Fd2jLQspwZVv7hF3bXHFg,160666,https://open.spotify.com/track/4Fd2jLQspwZVv7hF3bXHFg,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3z97WMRi731dCvKklIf2X6'}, 'href': 'https://api.spotify.com/v1/artists/3z97WMRi731dCvKklIf2X6', 'id': '3z97WMRi731dCvKklIf2X6', 'name': 'NEFFEX', 'type': 'artist', 'uri': 'spotify:artist:3z97WMRi731dCvKklIf2X6'}]",2022-09-14T02:06:31Z,0.792,0.875,8,-4.128,0.0378,0.0366,0.743,0.123,0.587,90.006
64,64,Ballin,17N5FdRwJuv3UXQ7MHnbhF,166080,https://open.spotify.com/track/17N5FdRwJuv3UXQ7MHnbhF,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L'}, 'href': 'https://api.spotify.com/v1/artists/4xRYI6VqpkE3UwrDrAZL8L', 'id': '4xRYI6VqpkE3UwrDrAZL8L', 'name': 'Logic', 'type': 'artist', 'uri': 'spotify:artist:4xRYI6VqpkE3UwrDrAZL8L'}]",2022-09-02T17:27:42Z,0.737,0.854,3,-6.414,0.221,0.0475,0.0,0.0905,0.65,150.621
65,65,The Search - Edit,4tZDUt8vHpvjfOXcHwOvtq,197694,https://open.spotify.com/track/4tZDUt8vHpvjfOXcHwOvtq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-09-02T17:10:54Z,0.831,0.851,2,-3.397,0.207,0.552,0.0,0.106,0.496,119.958
66,66,Story Of My Life (feat. Trippie Redd) - Heavy Edit,7vBwenmGPD2h0DSbljoZym,240608,https://open.spotify.com/track/7vBwenmGPD2h0DSbljoZym,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/45eNHdiiabvmbp4erw26rg'}, 'href': 'https://api.spotify.com/v1/artists/45eNHdiiabvmbp4erw26rg', 'id': '45eNHdiiabvmbp4erw26rg', 'name': 'ILLENIUM', 'type': 'artist', 'uri': 'spotify:artist:45eNHdiiabvmbp4erw26rg'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4iDroUFo89Y7YBsdDTBmTD'}, 'href': 'https://api.spotify.com/v1/artists/4iDroUFo89Y7YBsdDTBmTD', 'id': '4iDroUFo89Y7YBsdDTBmTD', 'name': 'Sueco', 'type': 'artist', 'uri': 'spotify:artist:4iDroUFo89Y7YBsdDTBmTD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax'}, 'href': 'https://api.spotify.com/v1/artists/6Xgp2XMz1fhVYe7i6yNAax', 'id': '6Xgp2XMz1fhVYe7i6yNAax', 'name': 'Trippie Redd', 'type': 'artist', 'uri': 'spotify:artist:6Xgp2XMz1fhVYe7i6yNAax'}]",2022-09-02T16:44:28Z,0.537,0.884,0,-4.088,0.0428,0.0121,1.71e-06,0.113,0.397,97.024
