,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Vengeance,3QgD8W1sEYFxb2UaWJelhf,137049,https://open.spotify.com/track/3QgD8W1sEYFxb2UaWJelhf,0.782,0.823,2,-4.965,0.289,0.171,0.0,0.0879,0.639,142.922
1,Drifting,5cSg8SdClubjZ32WrKwzAW,162711,https://open.spotify.com/track/5cSg8SdClubjZ32WrKwzAW,0.731,0.803,8,-7.23,0.0506,0.249,0.0,0.0902,0.452,94.519
2,Bipolar,6CNhRZb2Q76Idk24Qhgew2,134069,https://open.spotify.com/track/6CNhRZb2Q76Idk24Qhgew2,0.736,0.776,2,-7.486,0.264,0.262,0.0,0.19,0.399,142.868
3,Warfare,6TTBv0IDfO3pTNMM0O71xL,229990,https://open.spotify.com/track/6TTBv0IDfO3pTNMM0O71xL,0.627,0.732,7,-6.541,0.272,0.231,0.0,0.171,0.433,119.982
4,Ghost,2FApPxw7vTak4beWsbK9jR,200346,https://open.spotify.com/track/2FApPxw7vTak4beWsbK9jR,0.768,0.757,7,-7.122,0.497,0.188,0.0,0.238,0.478,160.106
5,Undefeated,0A8XIdWLzCrig73zlqSvfD,148346,https://open.spotify.com/track/0A8XIdWLzCrig73zlqSvfD,0.668,0.739,6,-6.621,0.245,0.0889,0.0,0.138,0.348,154.941
6,Satin Black,1vb2AwKBvNylZcKVSyAidh,137740,https://open.spotify.com/track/1vb2AwKBvNylZcKVSyAidh,0.773,0.682,1,-6.329,0.054,0.047,0.00317,0.11,0.81,150.974
7,By the Sword,3HsFSrIsbO54TFDfG66pZm,125812,https://open.spotify.com/track/3HsFSrIsbO54TFDfG66pZm,0.685,0.76,2,-7.813,0.0512,0.0199,0.151,0.0866,0.781,160.035
8,Die a King,1s70cjkrdj9lpEeQQlmS9l,169061,https://open.spotify.com/track/1s70cjkrdj9lpEeQQlmS9l,0.632,0.946,0,-2.784,0.277,0.192,0.0,0.495,0.324,125.061
9,I Chose Violence,7l5GAw0cglUUnN7bKAz5ab,139870,https://open.spotify.com/track/7l5GAw0cglUUnN7bKAz5ab,0.676,0.717,7,-8.641,0.323,0.323,0.0,0.118,0.451,162.016
10,Mindless,1tOpbxJMz9fAHd3Gt8nb7z,109811,https://open.spotify.com/track/1tOpbxJMz9fAHd3Gt8nb7z,0.702,0.849,1,-4.708,0.14,0.00458,0.0,0.224,0.519,140.039
11,Run It (feat. Rick Ross & Rich Brian),5x4vgABKiGp4Vg7ZyFRxhn,163373,https://open.spotify.com/track/5x4vgABKiGp4Vg7ZyFRxhn,0.688,0.725,2,-7.806,0.044,0.0195,7.63e-06,0.0726,0.225,104.006
12,Wake Up,2CXF3c5KrBsXZygtyQJtq9,158316,https://open.spotify.com/track/2CXF3c5KrBsXZygtyQJtq9,0.775,0.658,2,-5.119,0.175,0.0988,0.0,0.111,0.325,139.978
