,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Elevate,6HSENRdnjVJ6GqymOdDWsx,215100,https://open.spotify.com/track/6HSENRdnjVJ6GqymOdDWsx,0.625,0.898,7,-3.604,0.0302,0.233,0.0168,0.238,0.894,125.025
1,Carefree,0UfB1oHKwWuBTBAuIZc0V7,179352,https://open.spotify.com/track/0UfB1oHKwWuBTBAuIZc0V7,0.813,0.468,8,-9.314,0.0556,0.157,0.0,0.0726,0.595,92.944
2,So Good,28GUjBGqZVcAV4PHSYzkj2,213253,https://open.spotify.com/track/28GUjBGqZVcAV4PHSYzkj2,0.66,0.9,7,-5.02,0.14,0.0403,0.0,0.219,0.591,85.51
3,WHEN THE LIGHTS GO OUT,1S9nEzVGgS8QkOC1sWYvHx,176489,https://open.spotify.com/track/1S9nEzVGgS8QkOC1sWYvHx,0.731,0.647,6,-6.562,0.0484,0.164,0.00011,0.0881,0.352,89.977
4,Good Day,3ZqgCbcM2AGXivffHcun0X,116363,https://open.spotify.com/track/3ZqgCbcM2AGXivffHcun0X,0.715,0.64,9,-6.947,0.106,0.632,0.0,0.0905,0.444,82.465
5,Colorado,3DbBgbnDUOml329rAp2Tbr,206500,https://open.spotify.com/track/3DbBgbnDUOml329rAp2Tbr,0.905,0.562,8,-7.884,0.0662,0.453,0.000285,0.13,0.507,139.997
6,OH MY LORD (feat. 24kGoldn),1hQTaxMocyO7uH3Mko9Tn2,147022,https://open.spotify.com/track/1hQTaxMocyO7uH3Mko9Tn2,0.8,0.525,6,-6.519,0.274,0.252,0.0,0.142,0.553,93.983
7,No Sleep,2kzRSiyignH8yzPTrWvyPo,191320,https://open.spotify.com/track/2kzRSiyignH8yzPTrWvyPo,0.653,0.711,9,-6.454,0.0623,0.109,0.0,0.443,0.769,160.048
8,Time (feat. G-Eazy & Olivver the Kid),1UmqCjLXjTwPmuTeaopDQh,235240,https://open.spotify.com/track/1UmqCjLXjTwPmuTeaopDQh,0.711,0.65,9,-7.186,0.191,0.0182,0.0,0.0948,0.386,95.814
9,5 shots,0znCw9dSfsrBGUtxAzd9kD,181709,https://open.spotify.com/track/0znCw9dSfsrBGUtxAzd9kD,0.918,0.449,1,-5.702,0.0605,0.124,0.0,0.0595,0.481,91.978
10,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,212000,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995
11,beverly,2pTW1GkqQ6dPTBOff2ZqQc,103473,https://open.spotify.com/track/2pTW1GkqQ6dPTBOff2ZqQc,0.735,0.491,0,-7.766,0.0427,0.157,5.98e-05,0.121,0.574,167.13
12,FWMD,7tCtSUFIm4BrbAEoD2hj3s,226854,https://open.spotify.com/track/7tCtSUFIm4BrbAEoD2hj3s,0.723,0.707,11,-5.221,0.255,0.268,0.0,0.308,0.492,145.069
13,IDGAF (with blackbear),6Jrdb6CFOJEGaHjaa6c4WR,140665,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR,0.783,0.75,5,-5.762,0.078,0.426,0.0,0.241,0.88,97.953
14,ROXANNE,696DnlkuDOXcMAnKlTgXXK,163636,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735
15,Met Too Young,2qiadkWrq9h1i34Ut7KeTh,173066,https://open.spotify.com/track/2qiadkWrq9h1i34Ut7KeTh,0.681,0.636,4,-7.125,0.099,0.478,0.000144,0.115,0.557,102.04
16,泣き地蔵,2WHVKDG5Lj92IUijUno1ON,149500,https://open.spotify.com/track/2WHVKDG5Lj92IUijUno1ON,0.638,0.861,7,-9.106,0.0497,0.000458,3.24e-05,0.196,0.747,119.99
17,Everytime We Touch,5YJtMNWKe55yr49cyJgxva,197124,https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,0.633,0.976,8,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027
18,LoveSick,6MEHkS9tjO4ztPmqlXtzGr,146153,https://open.spotify.com/track/6MEHkS9tjO4ztPmqlXtzGr,0.864,0.535,9,-8.959,0.257,0.794,0.0,0.113,0.842,112.491
19,Lights - Bassnectar Remix - Bonus Track,4qxUFzBKlmP98kIRKFszju,276626,https://open.spotify.com/track/4qxUFzBKlmP98kIRKFszju,0.529,0.804,1,-4.882,0.029,0.00489,0.69,0.779,0.316,140.004
20,STROBE LIGHTS,5YSu5bnAHeB7pn43F9wdbm,153882,https://open.spotify.com/track/5YSu5bnAHeB7pn43F9wdbm,0.621,0.758,1,-5.804,0.0866,0.257,0.0,0.391,0.768,84.907
21,Heartless,6bnF93Rx87YqUBLSgjiMU8,198266,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,0.537,0.746,10,-5.507,0.15,0.0236,1.01e-06,0.156,0.252,170.062
22,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy,241160,https://open.spotify.com/track/2uwnP6tZVVmTovzX5ELooy,0.667,0.608,1,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992
23,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,191013,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX,0.65,0.825,0,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
24,Icee Pop,1zKOagmkCtXuGmCivG8HZE,147555,https://open.spotify.com/track/1zKOagmkCtXuGmCivG8HZE,0.914,0.572,0,-6.606,0.0359,0.12,0.0,0.0709,0.864,134.989
25,Day Drink,58VnTSn9DyiXssDcwV5oJR,240662,https://open.spotify.com/track/58VnTSn9DyiXssDcwV5oJR,0.808,0.809,10,-4.212,0.302,0.479,0.0,0.0944,0.426,90.529
26,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,200040,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
27,Easy Lover (feat. Big Sean),3nwd2gUT7l10HDUAOKXrhs,215937,https://open.spotify.com/track/3nwd2gUT7l10HDUAOKXrhs,0.675,0.817,5,-3.789,0.0497,0.00711,0.0,0.0839,0.446,105.964
28,Too Many Times,5PqhgVW7QGrIUHSwxV89xy,206201,https://open.spotify.com/track/5PqhgVW7QGrIUHSwxV89xy,0.729,0.768,0,-6.012,0.059,0.14,0.0,0.143,0.526,109.002
29,Kill Me Better,5ohyF1TaL2ks2mrEJqLtfs,193500,https://open.spotify.com/track/5ohyF1TaL2ks2mrEJqLtfs,0.509,0.781,8,-3.489,0.0378,0.107,0.0,0.128,0.529,80.046
30,Grateful,2wmZFiWL7MKt2vQe6DPanz,241397,https://open.spotify.com/track/2wmZFiWL7MKt2vQe6DPanz,0.78,0.593,8,-8.226,0.37,0.397,0.0,0.0712,0.792,159.995
31,SANTA MONICA,2h3jBh2kDDRSDbwzJqelFx,165034,https://open.spotify.com/track/2h3jBh2kDDRSDbwzJqelFx,0.708,0.667,4,-5.854,0.0356,0.16,0.000683,0.183,0.616,145.976
32,東京フラッシュ,0jPZf5231RdBUMLFG1HqXi,258858,https://open.spotify.com/track/0jPZf5231RdBUMLFG1HqXi,0.628,0.634,2,-5.508,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99
33,WTF,2ejZLWVTTr39e67FWxfWig,127346,https://open.spotify.com/track/2ejZLWVTTr39e67FWxfWig,0.764,0.466,4,-9.466,0.0647,0.494,0.0,0.101,0.225,98.032
34,complicate it,53iLwDjHRtP84RCze0ltth,156773,https://open.spotify.com/track/53iLwDjHRtP84RCze0ltth,0.706,0.599,1,-5.248,0.0518,0.318,0.0,0.083,0.463,94.096
