,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Stronger,6C7RJEIUDqKkJRZVWdkfkH,311866,https://open.spotify.com/track/6C7RJEIUDqKkJRZVWdkfkH,0.625,0.726,10,-7.731,0.155,0.00728,0.0,0.318,0.483,103.98
1,"Everyday We Lit (feat. PnB Rock, Lil Yachty & Wiz Khalifa) - Remix",2KtGuSoEszAKKjF7Yovhcg,236923,https://open.spotify.com/track/2KtGuSoEszAKKjF7Yovhcg,0.746,0.653,7,-4.691,0.0574,0.13,0.0,0.17,0.607,155.947
2,Up Up & Away,6MWH4pJQ5QYjidX2A2KECd,227346,https://open.spotify.com/track/6MWH4pJQ5QYjidX2A2KECd,0.66,0.881,10,-6.119,0.0849,0.0722,3.4e-05,0.362,0.586,120.017
3,Black and Yellow,5A6OHHy73AR5tLxgTc98zz,217666,https://open.spotify.com/track/5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0.0675,0.0646,0.0,0.271,0.538,164.02
4,Buried Alive,0Kojfmpnf0A2yC1zyv39Zx,337746,https://open.spotify.com/track/0Kojfmpnf0A2yC1zyv39Zx,0.755,0.83,3,-6.494,0.0613,0.0916,3.81e-05,0.298,0.513,139.9
5,Welcome,5EHHMikaYxhe7N6h0gBvkn,213320,https://open.spotify.com/track/5EHHMikaYxhe7N6h0gBvkn,0.679,0.784,2,-5.194,0.0393,0.0536,4.41e-06,0.101,0.431,115.005
6,Fame Is for Assholes (feat. Chiddy),3D0b0441vvXFJvgbaiDyp3,196456,https://open.spotify.com/track/3D0b0441vvXFJvgbaiDyp3,0.817,0.709,9,-5.682,0.0541,0.0141,0.0,0.0756,0.647,114.012
7,Come Closer (feat. Queen Naija),3UhRsQVrELOATEiY7E9X2T,156511,https://open.spotify.com/track/3UhRsQVrELOATEiY7E9X2T,0.741,0.556,7,-6.647,0.0947,0.22,0.0,0.0981,0.616,140.056
8,Lust,7oJrVhiTPZGBXWPwhxjy9S,156000,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,9,-5.641,0.166,0.138,0.0,0.114,0.519,160.084
9,CAPO,1KjQPDJQCUuqDj3AmfSBCa,192200,https://open.spotify.com/track/1KjQPDJQCUuqDj3AmfSBCa,0.617,0.953,2,-4.162,0.0693,0.119,0.0,0.331,0.594,154.964
