,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4,4,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,260253,https://open.spotify.com/track/5PdEiev2BkKiZtZFcNKjfM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:20:48Z,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
14,14,Drugs,4aPzU7jCuoBibw6zGuzRdq,194810,https://open.spotify.com/track/4aPzU7jCuoBibw6zGuzRdq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}]",2022-09-28T22:34:47Z,0.613,0.719,9,-7.312,0.0376,0.119,0.0,0.112,0.613,129.946
20,20,ON TEN,1Hdh6lJUR1WZCiNPVWxLTA,137721,https://open.spotify.com/track/1Hdh6lJUR1WZCiNPVWxLTA,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs'}, 'href': 'https://api.spotify.com/v1/artists/0vRvGUQVUjytro0xpb26bs', 'id': '0vRvGUQVUjytro0xpb26bs', 'name': 'Arizona Zervas', 'type': 'artist', 'uri': 'spotify:artist:0vRvGUQVUjytro0xpb26bs'}]",2022-09-27T20:48:22Z,0.771,0.741,4,-5.59,0.0527,0.0554,0.0,0.31,0.712,162.037
34,34,Isabelle,1w9L6dvttZalWd8XqFYvSa,135000,https://open.spotify.com/track/1w9L6dvttZalWd8XqFYvSa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5aHlyw2WWqZW0HLICBuv7U'}, 'href': 'https://api.spotify.com/v1/artists/5aHlyw2WWqZW0HLICBuv7U', 'id': '5aHlyw2WWqZW0HLICBuv7U', 'name': 'Zach Hood', 'type': 'artist', 'uri': 'spotify:artist:5aHlyw2WWqZW0HLICBuv7U'}]",2022-09-25T23:45:32Z,0.678,0.716,10,-4.403,0.0342,0.196,0.0,0.102,0.627,109.981
48,48,Don’t Trip (with GAYLE),6mWCikZXHCCnEwkwyJ2L8G,147183,https://open.spotify.com/track/6mWCikZXHCCnEwkwyJ2L8G,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4PcesEvU9iICf7dwNt5B3l'}, 'href': 'https://api.spotify.com/v1/artists/4PcesEvU9iICf7dwNt5B3l', 'id': '4PcesEvU9iICf7dwNt5B3l', 'name': 'Justus Bennetts', 'type': 'artist', 'uri': 'spotify:artist:4PcesEvU9iICf7dwNt5B3l'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2VSHKHBTiXWplO8lxcnUC9'}, 'href': 'https://api.spotify.com/v1/artists/2VSHKHBTiXWplO8lxcnUC9', 'id': '2VSHKHBTiXWplO8lxcnUC9', 'name': 'GAYLE', 'type': 'artist', 'uri': 'spotify:artist:2VSHKHBTiXWplO8lxcnUC9'}]",2022-09-16T19:01:31Z,0.522,0.743,10,-4.892,0.0741,0.00946,0.0,0.302,0.524,159.898
51,51,Lying To Myself,3f07vmqG0FxVFdUWqTREEw,173893,https://open.spotify.com/track/3f07vmqG0FxVFdUWqTREEw,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5WnlPOcTodnSWDtjnrjmzv'}, 'href': 'https://api.spotify.com/v1/artists/5WnlPOcTodnSWDtjnrjmzv', 'id': '5WnlPOcTodnSWDtjnrjmzv', 'name': '7ru7h', 'type': 'artist', 'uri': 'spotify:artist:5WnlPOcTodnSWDtjnrjmzv'}]",2022-09-16T18:54:29Z,0.661,0.666,4,-6.088,0.0509,0.0486,0.0,0.0821,0.539,166.944
62,62,OLIVIA,2s14ypvd880AiEfZssEjaY,143587,https://open.spotify.com/track/2s14ypvd880AiEfZssEjaY,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fAEWMlRd4yiJBT2usaqqc'}, 'href': 'https://api.spotify.com/v1/artists/0fAEWMlRd4yiJBT2usaqqc', 'id': '0fAEWMlRd4yiJBT2usaqqc', 'name': 'Softwilly', 'type': 'artist', 'uri': 'spotify:artist:0fAEWMlRd4yiJBT2usaqqc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7j8MiVdcaaVpUvhkXWwYDT'}, 'href': 'https://api.spotify.com/v1/artists/7j8MiVdcaaVpUvhkXWwYDT', 'id': '7j8MiVdcaaVpUvhkXWwYDT', 'name': 'Yung Kage', 'type': 'artist', 'uri': 'spotify:artist:7j8MiVdcaaVpUvhkXWwYDT'}]",2022-09-14T02:02:38Z,0.55,0.88,8,-4.659,0.0368,0.119,0.0,0.109,0.462,160.509
63,63,The Other Side,5FljCWR0cys07PQ9277GTz,226986,https://open.spotify.com/track/5FljCWR0cys07PQ9277GTz,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y'}, 'href': 'https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y', 'id': '07YZf4WDAMNwqr4jfgOZ8y', 'name': 'Jason Derulo', 'type': 'artist', 'uri': 'spotify:artist:07YZf4WDAMNwqr4jfgOZ8y'}]",2022-09-05T22:33:44Z,0.561,0.836,9,-3.939,0.1,0.0525,0.0,0.136,0.517,127.923
71,71,dead inside,2Oo397nWzelAKMQBBIL8YI,182792,https://open.spotify.com/track/2Oo397nWzelAKMQBBIL8YI,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM'}, 'href': 'https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM', 'id': '2cFrymmkijnjDg9SS92EPM', 'name': 'blackbear', 'type': 'artist', 'uri': 'spotify:artist:2cFrymmkijnjDg9SS92EPM'}]",2022-08-29T13:26:55Z,0.558,0.925,8,-3.428,0.0423,0.00263,0.0,0.188,0.829,148.042
78,78,Easy Lover (feat. Big Sean),3nwd2gUT7l10HDUAOKXrhs,215937,https://open.spotify.com/track/3nwd2gUT7l10HDUAOKXrhs,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'}, 'href': 'https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh', 'id': '0c173mlxpT3dSFRgMO8XPh', 'name': 'Big Sean', 'type': 'artist', 'uri': 'spotify:artist:0c173mlxpT3dSFRgMO8XPh'}]",2022-08-20T11:48:32Z,0.675,0.817,5,-3.789,0.0497,0.00711,0.0,0.0839,0.446,105.964
