,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Back In The Game,5S5GRSDNdEPjNjj07gORMf,205506,https://open.spotify.com/track/5S5GRSDNdEPjNjj07gORMf,0.585,0.959,0,-2.966,0.0682,0.00269,0.204,0.23,0.447,97.002
1,Nothin' But A Good Time - Remastered 2006,2V8KvnD5LVeeDChMWEkSzC,224866,https://open.spotify.com/track/2V8KvnD5LVeeDChMWEkSzC,0.576,0.974,1,-2.785,0.0828,0.0202,0.0,0.348,0.531,129.088
2,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,282653,https://open.spotify.com/track/7GonnnalI2s19OCQO1J7Tf,0.359,0.981,7,-3.622,0.303,0.00125,0.00236,0.284,0.271,178.98
3,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,179760,https://open.spotify.com/track/70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244
4,In the Air Tonight,5MAPt0beSbEQdPM5SfJwyl,394453,https://open.spotify.com/track/5MAPt0beSbEQdPM5SfJwyl,0.401,0.37,2,-8.28,0.0293,0.144,0.0126,0.546,0.0446,94.981
5,You're The Best,4zXa17K83Pp6N2yXdVc2sv,179666,https://open.spotify.com/track/4zXa17K83Pp6N2yXdVc2sv,0.571,0.863,4,-7.661,0.048,0.257,0.0,0.532,0.782,94.299
6,Head Games,5nk6wxUSFUBxUKxjz0fKD6,217706,https://open.spotify.com/track/5nk6wxUSFUBxUKxjz0fKD6,0.678,0.693,1,-6.133,0.0249,0.0139,0.0,0.0596,0.623,107.415
7,Separate Ways (Worlds Apart),4ECNtOnqzxutZkXP4TE3n3,323706,https://open.spotify.com/track/4ECNtOnqzxutZkXP4TE3n3,0.451,0.962,0,-3.947,0.0734,0.0188,3.17e-06,0.277,0.377,131.435
8,Listen To Your Heart,5JvsxPAHsGxwNq4xto2HtM,328093,https://open.spotify.com/track/5JvsxPAHsGxwNq4xto2HtM,0.539,0.583,1,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063
9,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,208400,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728
10,Here I Go Again - Radio Mix,5yRAFKdtf6CXxESXbXV1lp,232133,https://open.spotify.com/track/5yRAFKdtf6CXxESXbXV1lp,0.48,0.887,7,-4.91,0.0319,0.147,0.00011,0.33,0.69,92.971
11,Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,317426,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038
12,Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,259800,https://open.spotify.com/track/00qOE7OjRl0BpYiCiweZB2,0.357,0.653,9,-5.554,0.0654,0.0828,0.0,0.0844,0.522,176.647
13,Fight Song,6SnokqeMmGKiOzMlhag3Mb,241080,https://open.spotify.com/track/6SnokqeMmGKiOzMlhag3Mb,0.5,0.981,7,-4.494,0.118,0.000921,0.000161,0.0986,0.467,157.025
14,Tick Tick Boom,6tedQ1ZmbygqhbdcfJL7Xb,205413,https://open.spotify.com/track/6tedQ1ZmbygqhbdcfJL7Xb,0.565,0.831,9,-3.102,0.113,0.000384,1.21e-05,0.245,0.498,135.111
15,Smokin',5u5qlnyVaewWugJIjzilIc,261385,https://open.spotify.com/track/5u5qlnyVaewWugJIjzilIc,0.197,0.796,2,-7.335,0.0645,0.000541,0.417,0.187,0.522,175.02
16,Paradise City,5Q41NLTmGbVPozwHKK7bk2,406306,https://open.spotify.com/track/5Q41NLTmGbVPozwHKK7bk2,0.274,0.949,11,-8.642,0.0896,0.0214,0.00778,0.218,0.497,100.346
17,Enter Sandman,1hKdDCpiI9mqz1jVHRKG0E,331573,https://open.spotify.com/track/1hKdDCpiI9mqz1jVHRKG0E,0.579,0.824,6,-8.71,0.03,0.00206,0.00903,0.059,0.635,123.331
18,Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,249293,https://open.spotify.com/track/0J6mQxEZnlRt9ymzFntA6z,0.534,0.887,0,-3.777,0.0345,0.0768,9.93e-05,0.325,0.72,122.494
19,You Give Love A Bad Name,3KYiA4vq6RPO1dE2XROXd8,222706,https://open.spotify.com/track/3KYiA4vq6RPO1dE2XROXd8,0.537,0.959,0,-3.002,0.0557,0.0704,1.8e-06,0.382,0.828,122.806
20,Walk This Way,5SZ6zX4rOrEQferfFC2MfP,220400,https://open.spotify.com/track/5SZ6zX4rOrEQferfFC2MfP,0.653,0.73,5,-10.613,0.043,0.0114,1.03e-05,0.0754,0.894,108.705
21,Here I Go Again,29pzjF6ZkzcW3ofgOVbF0t,308800,https://open.spotify.com/track/29pzjF6ZkzcW3ofgOVbF0t,0.213,0.634,4,-12.967,0.0596,0.369,0.00199,0.359,0.354,174.443
