,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14,14,Drugs,4aPzU7jCuoBibw6zGuzRdq,194810,https://open.spotify.com/track/4aPzU7jCuoBibw6zGuzRdq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}]",2022-09-28T22:34:47Z,0.613,0.719,9,-7.312,0.0376,0.119,0.0,0.112,0.613,129.946
32,32,hearts of gold,66Vv9Qp0CeKkX3wXQG3JSh,180642,https://open.spotify.com/track/66Vv9Qp0CeKkX3wXQG3JSh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5QqCSh9Ri3B7Tw6HNQkPQH'}, 'href': 'https://api.spotify.com/v1/artists/5QqCSh9Ri3B7Tw6HNQkPQH', 'id': '5QqCSh9Ri3B7Tw6HNQkPQH', 'name': 'MILES', 'type': 'artist', 'uri': 'spotify:artist:5QqCSh9Ri3B7Tw6HNQkPQH'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7naAJDAh7AZnf18YYfQruM'}, 'href': 'https://api.spotify.com/v1/artists/7naAJDAh7AZnf18YYfQruM', 'id': '7naAJDAh7AZnf18YYfQruM', 'name': 'Christian French', 'type': 'artist', 'uri': 'spotify:artist:7naAJDAh7AZnf18YYfQruM'}]",2022-09-25T23:54:08Z,0.56,0.637,10,-5.081,0.0393,0.257,5.53e-06,0.125,0.404,140.081
33,33,i think too much,6wFqLYmiXyGvprbWa4ogm8,202779,https://open.spotify.com/track/6wFqLYmiXyGvprbWa4ogm8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7naAJDAh7AZnf18YYfQruM'}, 'href': 'https://api.spotify.com/v1/artists/7naAJDAh7AZnf18YYfQruM', 'id': '7naAJDAh7AZnf18YYfQruM', 'name': 'Christian French', 'type': 'artist', 'uri': 'spotify:artist:7naAJDAh7AZnf18YYfQruM'}]",2022-09-25T23:50:48Z,0.675,0.695,7,-7.859,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025
34,34,Isabelle,1w9L6dvttZalWd8XqFYvSa,135000,https://open.spotify.com/track/1w9L6dvttZalWd8XqFYvSa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5aHlyw2WWqZW0HLICBuv7U'}, 'href': 'https://api.spotify.com/v1/artists/5aHlyw2WWqZW0HLICBuv7U', 'id': '5aHlyw2WWqZW0HLICBuv7U', 'name': 'Zach Hood', 'type': 'artist', 'uri': 'spotify:artist:5aHlyw2WWqZW0HLICBuv7U'}]",2022-09-25T23:45:32Z,0.678,0.716,10,-4.403,0.0342,0.196,0.0,0.102,0.627,109.981
40,40,Cigarettes On Patios (with 24kGoldn) - Remix,2K2nfIHU02JUJtzLvUx0ju,206313,https://open.spotify.com/track/2K2nfIHU02JUJtzLvUx0ju,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/07Asx51VtMw5kbNXKrpZlq'}, 'href': 'https://api.spotify.com/v1/artists/07Asx51VtMw5kbNXKrpZlq', 'id': '07Asx51VtMw5kbNXKrpZlq', 'name': 'BabyJake', 'type': 'artist', 'uri': 'spotify:artist:07Asx51VtMw5kbNXKrpZlq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z'}, 'href': 'https://api.spotify.com/v1/artists/6fWVd57NKTalqvmjRd2t8Z', 'id': '6fWVd57NKTalqvmjRd2t8Z', 'name': '24kGoldn', 'type': 'artist', 'uri': 'spotify:artist:6fWVd57NKTalqvmjRd2t8Z'}]",2022-09-16T19:36:38Z,0.744,0.728,4,-5.738,0.0541,0.275,0.0,0.131,0.543,139.914
42,42,eighty-five,5JY5XNdyskEurS85nHeKr3,195220,https://open.spotify.com/track/5JY5XNdyskEurS85nHeKr3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jeXY6LJU0ZiKhXoXa9rRw'}, 'href': 'https://api.spotify.com/v1/artists/3jeXY6LJU0ZiKhXoXa9rRw', 'id': '3jeXY6LJU0ZiKhXoXa9rRw', 'name': 'PmBata', 'type': 'artist', 'uri': 'spotify:artist:3jeXY6LJU0ZiKhXoXa9rRw'}]",2022-09-16T19:25:32Z,0.787,0.539,4,-6.96,0.0378,0.235,0.0,0.21,0.677,114.99
52,52,Fuck Love,3FcsP46yuD5OhisPkp0jFT,138212,https://open.spotify.com/track/3FcsP46yuD5OhisPkp0jFT,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Yr4BBpK2dkCp2UsrJ9LZN'}, 'href': 'https://api.spotify.com/v1/artists/0Yr4BBpK2dkCp2UsrJ9LZN', 'id': '0Yr4BBpK2dkCp2UsrJ9LZN', 'name': 'Bankrol Hayden', 'type': 'artist', 'uri': 'spotify:artist:0Yr4BBpK2dkCp2UsrJ9LZN'}]",2022-09-16T18:49:35Z,0.84,0.537,7,-6.658,0.0426,0.207,1.32e-06,0.0956,0.775,103.983
63,63,The Other Side,5FljCWR0cys07PQ9277GTz,226986,https://open.spotify.com/track/5FljCWR0cys07PQ9277GTz,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y'}, 'href': 'https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y', 'id': '07YZf4WDAMNwqr4jfgOZ8y', 'name': 'Jason Derulo', 'type': 'artist', 'uri': 'spotify:artist:07YZf4WDAMNwqr4jfgOZ8y'}]",2022-09-05T22:33:44Z,0.561,0.836,9,-3.939,0.1,0.0525,0.0,0.136,0.517,127.923
78,78,Easy Lover (feat. Big Sean),3nwd2gUT7l10HDUAOKXrhs,215937,https://open.spotify.com/track/3nwd2gUT7l10HDUAOKXrhs,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'}, 'href': 'https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh', 'id': '0c173mlxpT3dSFRgMO8XPh', 'name': 'Big Sean', 'type': 'artist', 'uri': 'spotify:artist:0c173mlxpT3dSFRgMO8XPh'}]",2022-08-20T11:48:32Z,0.675,0.817,5,-3.789,0.0497,0.00711,0.0,0.0839,0.446,105.964
107,107,Flaws And Sins,0flSGzqHO12p9fU9kqaHGE,218348,https://open.spotify.com/track/0flSGzqHO12p9fU9kqaHGE,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",2022-07-28T14:28:54Z,0.709,0.662,8,-4.55,0.0767,0.00966,0.0,0.108,0.439,150.047
