,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,"Everyday We Lit (feat. PnB Rock, Lil Yachty & Wiz Khalifa) - Remix",2KtGuSoEszAKKjF7Yovhcg,236923,https://open.spotify.com/track/2KtGuSoEszAKKjF7Yovhcg,0.746,0.653,7,-4.691,0.0574,0.13,0.0,0.17,0.607,155.947
1,Astronaut (feat. Jspec),1rLl5GAkjPXVbG2B8MrZAi,202257,https://open.spotify.com/track/1rLl5GAkjPXVbG2B8MrZAi,0.732,0.557,8,-7.221,0.0628,0.0012,0.0,0.265,0.522,144.967
2,It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,260000,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA,0.798,0.744,7,-5.328,0.136,0.33,0.000106,0.292,0.794,82.356
3,Cameras,0Swx0M6iLt0Lr5nN33YCEB,269280,https://open.spotify.com/track/0Swx0M6iLt0Lr5nN33YCEB,0.75,0.737,8,-5.815,0.0279,0.225,0.0,0.0661,0.571,95.012
4,Welcome,5EHHMikaYxhe7N6h0gBvkn,213320,https://open.spotify.com/track/5EHHMikaYxhe7N6h0gBvkn,0.679,0.784,2,-5.194,0.0393,0.0536,4.41e-06,0.101,0.431,115.005
5,The Woods (Remix) [feat. Lil Dicky],3zoJjRCdpyJvHfpuP47OEx,282500,https://open.spotify.com/track/3zoJjRCdpyJvHfpuP47OEx,0.684,0.492,8,-7.991,0.0995,0.387,4.56e-05,0.105,0.518,96.09
6,Fame Is for Assholes (feat. Chiddy),3D0b0441vvXFJvgbaiDyp3,196456,https://open.spotify.com/track/3D0b0441vvXFJvgbaiDyp3,0.817,0.709,9,-5.682,0.0541,0.0141,0.0,0.0756,0.647,114.012
7,Come Closer (feat. Queen Naija),3UhRsQVrELOATEiY7E9X2T,156511,https://open.spotify.com/track/3UhRsQVrELOATEiY7E9X2T,0.741,0.556,7,-6.647,0.0947,0.22,0.0,0.0981,0.616,140.056
8,My Shit,5uQOauh47VFt3B2kV9kRXw,128156,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,0.0515,0.244,0.0,0.099,0.847,77.998
9,Salute (feat. French Montana),4JIPyaaceaEZtOJAWmzBzF,182956,https://open.spotify.com/track/4JIPyaaceaEZtOJAWmzBzF,0.768,0.729,9,-4.079,0.102,0.331,0.0,0.126,0.588,152.038
10,do u even miss me at all?,1AHf5FSofKcUw8tyKkccKF,177626,https://open.spotify.com/track/1AHf5FSofKcUw8tyKkccKF,0.819,0.519,10,-7.16,0.0768,0.384,0.0,0.0898,0.452,100.039
11,FML,6lruHh1jF7ezgbLv72xYmf,223000,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,-5.95,0.0934,0.113,0.0,0.106,0.616,100.087
12,molly,0q0Vsy1SHdUSrR7TJGNAVn,175568,https://open.spotify.com/track/0q0Vsy1SHdUSrR7TJGNAVn,0.695,0.566,6,-7.484,0.124,0.00202,0.0,0.167,0.388,80.029
