,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Dope on a Rope,76c1AuZodByXM3X2k48wju,250320,https://open.spotify.com/track/76c1AuZodByXM3X2k48wju,0.42,0.901,7,-3.857,0.0955,0.00173,0.0,0.366,0.74,145.965
1,What You Know,6jrMVRReY24qzCfe1BRrww,191400,https://open.spotify.com/track/6jrMVRReY24qzCfe1BRrww,0.556,0.763,6,-3.952,0.0413,0.000728,6.79e-06,0.071,0.814,138.986
2,Money,2Vi8BQIM9vCQkkrvf3VPjI,238180,https://open.spotify.com/track/2Vi8BQIM9vCQkkrvf3VPjI,0.646,0.585,4,-9.148,0.0336,0.163,0.293,0.406,0.412,110.058
3,Restless,5QBVRETMnR1sKyrQAMypDu,177746,https://open.spotify.com/track/5QBVRETMnR1sKyrQAMypDu,0.593,0.861,6,-4.559,0.034,0.0102,0.000859,0.107,0.818,170.005
4,Wild Stare,6NZUOG0R0uxIBkcQ6BIqfq,194480,https://open.spotify.com/track/6NZUOG0R0uxIBkcQ6BIqfq,0.646,0.82,10,-3.618,0.0521,0.026,0.000171,0.191,0.438,128.061
5,The Difference,4nlvKIIetOWGIMyhjQXgOZ,139662,https://open.spotify.com/track/4nlvKIIetOWGIMyhjQXgOZ,0.56,0.865,1,-1.148,0.0909,0.255,0.000153,0.083,0.424,159.96
6,Radio,0idjTHGhGRBdWTmsalq3tF,212333,https://open.spotify.com/track/0idjTHGhGRBdWTmsalq3tF,0.557,0.895,0,-6.547,0.0329,0.642,0.0186,0.254,0.591,119.993
7,Going On,6N7YkCy1oSMRsaZSoz5VlS,174040,https://open.spotify.com/track/6N7YkCy1oSMRsaZSoz5VlS,0.428,0.911,1,-4.743,0.0554,0.00245,0.0,0.332,0.467,150.038
8,Feel No Pain,5d8FKzupYxokVUB1fZEamz,169600,https://open.spotify.com/track/5d8FKzupYxokVUB1fZEamz,0.62,0.995,0,-0.149,0.0735,0.0307,0.000263,0.194,0.89,150.103
9,Runaway (U & I),46lFttIf5hnUZMGvjK0Wxo,227073,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,1,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008
10,Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit,3yZsBXwiQkqLjnWYip17Uu,229586,https://open.spotify.com/track/3yZsBXwiQkqLjnWYip17Uu,0.782,0.728,5,-6.568,0.146,0.00245,7.9e-05,0.241,0.602,122.035
11,Synchronize - RAC Mix,54eed36O0lRORfHHEilKCs,160306,https://open.spotify.com/track/54eed36O0lRORfHHEilKCs,0.781,0.85,11,-3.334,0.0299,0.0155,0.00824,0.381,0.612,124.028
12,BLIND (feat. Young Thug),2T5NBwKRySiCR78vVk08vr,153466,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr,0.709,0.679,11,-6.503,0.346,0.0115,0.0,0.0971,0.754,162.973
13,Gifted (feat. Roddy Ricch),0mb3uDw5vfFUcZfJYFOMRu,168477,https://open.spotify.com/track/0mb3uDw5vfFUcZfJYFOMRu,0.653,0.603,5,-5.697,0.171,0.175,0.0,0.18,0.551,151.016
14,Looking At Me (feat. Rich The Kid),2xi3mhJdVs358bQgqpHt9f,207517,https://open.spotify.com/track/2xi3mhJdVs358bQgqpHt9f,0.78,0.612,11,-4.469,0.268,0.0566,0.0,0.0975,0.443,95.982
15,C'est La Vie (with bbno$ & Rich Brian),0cgy8EueqwMuYzOZrW5vPB,160161,https://open.spotify.com/track/0cgy8EueqwMuYzOZrW5vPB,0.888,0.778,9,-3.671,0.0945,0.0566,0.0,0.0653,0.774,142.128
16,The Other Side Of Paradise,0rRjGruFonCGOt0S5zAJNQ,320654,https://open.spotify.com/track/0rRjGruFonCGOt0S5zAJNQ,0.689,0.338,11,-7.634,0.0629,0.349,5.7e-05,0.0649,0.568,128.012
17,Downtown Life,2SIrI92MzsooKVMd3bXsS6,210706,https://open.spotify.com/track/2SIrI92MzsooKVMd3bXsS6,0.715,0.749,7,-6.649,0.0331,0.000344,0.1,0.257,0.913,141.009
18,Seventeen,4gsR34XSIE2fUY4odwZqym,225666,https://open.spotify.com/track/4gsR34XSIE2fUY4odwZqym,0.612,0.725,7,-5.602,0.0416,0.305,0.0784,0.0548,0.333,146.008
19,Night Ride,2O07FF1DMc1oRDlkIo33FC,251424,https://open.spotify.com/track/2O07FF1DMc1oRDlkIo33FC,0.608,0.752,9,-4.954,0.0315,0.0163,0.0,0.118,0.569,110.107
20,Fire,5jRJlGB5EP7HFKwYBKvlSA,197749,https://open.spotify.com/track/5jRJlGB5EP7HFKwYBKvlSA,0.735,0.798,9,-3.829,0.0578,0.00697,0.00968,0.194,0.501,115.98
21,Temper Temper,3DCU0R5FFaB9GKxZERb5wr,208980,https://open.spotify.com/track/3DCU0R5FFaB9GKxZERb5wr,0.713,0.565,7,-7.8,0.0351,0.0252,3.2e-06,0.633,0.705,130.047
22,I Can Talk,5R34yWuK4EWjy3l6IAfMFJ,177426,https://open.spotify.com/track/5R34yWuK4EWjy3l6IAfMFJ,0.475,0.753,9,-5.058,0.214,2.58e-05,0.0968,0.212,0.672,162.92
23,Heat Up,4Zy41OO1JR7ubYW1LnJ3tA,182920,https://open.spotify.com/track/4Zy41OO1JR7ubYW1LnJ3tA,0.569,0.946,6,-3.245,0.0642,0.0506,6.57e-05,0.233,0.905,75.004
24,New Estate,7muYz7kx7Z37Bnfg7eYbtv,237360,https://open.spotify.com/track/7muYz7kx7Z37Bnfg7eYbtv,0.526,0.742,6,-6.115,0.0306,0.0316,0.0,0.201,0.562,155.969
25,Robbery,5iAxcPoyxt0HWU5sZToqe5,223233,https://open.spotify.com/track/5iAxcPoyxt0HWU5sZToqe5,0.685,0.748,3,-7.558,0.0959,0.306,0.105,0.183,0.879,152.949
26,Dignity,7bIA6dhcam3YjmD71RZ1PT,221739,https://open.spotify.com/track/7bIA6dhcam3YjmD71RZ1PT,0.841,0.505,8,-7.998,0.0678,0.0714,0.0654,0.164,0.55,108.029
27,Peanut Butter Jelly,3aIhJDHxr1kgTSnutJxPTH,203133,https://open.spotify.com/track/3aIhJDHxr1kgTSnutJxPTH,0.708,0.945,5,-3.247,0.234,0.00104,0.0803,0.227,0.545,127.96
28,supadupakulavibe,0IZcBw4yxmia7UjakLEaAc,186514,https://open.spotify.com/track/0IZcBw4yxmia7UjakLEaAc,0.47,0.962,4,-5.322,0.0962,0.000167,0.484,0.336,0.441,175.018
29,No Money,0gb1J5UrTpzaU1s3nupgCd,189126,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,0.671,0.916,6,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01
