,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Invincible,792HwhrdO3ErRKL5yRe4Ge,127546,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge,0.548,0.732,11,-5.652,0.336,0.125,0.0,0.269,0.612,142.791
1,Get Back,3DWjFSDEQ9IWz1mj449fB7,108160,https://open.spotify.com/track/3DWjFSDEQ9IWz1mj449fB7,0.798,0.649,9,-6.546,0.306,0.0746,1.34e-05,0.517,0.566,142.006
2,Prada (feat. Lil Tecca),4wuMS7NGVbU7hdu94K5icd,151585,https://open.spotify.com/track/4wuMS7NGVbU7hdu94K5icd,0.686,0.69,6,-6.13,0.24,0.122,0.0,0.137,0.528,178.157
3,Livin It Up (with Post Malone & A$AP Rocky),7zjEyeBsaw9gV0jofJLfOM,210906,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM,0.767,0.313,7,-12.059,0.0798,0.838,0.0,0.105,0.765,82.582
4,Element,57BGVV6wcyhbn3hsjlqEZB,135746,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,0.324,0.0301,2.18e-06,0.251,0.305,61.311
5,2055,4XvcHTUfIlWfyJTRG0aqlo,123986,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,6,-5.865,0.187,0.492,0.0,0.12,0.638,80.511
6,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,291175,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937
7,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,197442,https://open.spotify.com/track/4iN16F8JtVxG2UTzp3avGl,0.627,0.618,2,-8.529,0.0437,0.0558,0.0,0.351,0.848,82.03
8,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,242965,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887
9,Obsessed With You,4PYfFHKfjYz6dwAtZhBy1z,108650,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z,0.746,0.825,3,-4.457,0.0435,0.192,0.0,0.365,0.904,143.062
10,Hands On You,1c03f9YZmO792D7hRjZMYi,155567,https://open.spotify.com/track/1c03f9YZmO792D7hRjZMYi,0.616,0.557,11,-5.871,0.0413,0.354,1.53e-06,0.345,0.626,159.91
11,Already Dead,2quVkyLSVr5wX2QIhnexUt,231220,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt,0.744,0.495,1,-6.311,0.0634,0.0216,0.0,0.111,0.128,83.51
12,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,160656,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
13,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,238805,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
14,Own Brand Freestyle,6Jzdxguk63s6CVVXHIrQ0x,153808,https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,0.912,0.54,7,-8.038,0.305,0.16,0.0,0.421,0.619,128.068
15,Wandered To LA (with Justin Bieber),1cA4wEmLkKlttS6N89LbJh,188833,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh,0.687,0.643,0,-4.763,0.0406,0.0518,3.31e-06,0.11,0.418,135.068
16,Still into You Drill,5cfwpBNx0DYqXJA7fQrJhj,180941,https://open.spotify.com/track/5cfwpBNx0DYqXJA7fQrJhj,0.751,0.63,5,-5.244,0.203,0.111,0.000124,0.328,0.836,143.847
17,Still into You - Drill Remix,3eOhuiG4QzpGj4CAoNTCNF,201000,https://open.spotify.com/track/3eOhuiG4QzpGj4CAoNTCNF,0.682,0.337,5,-13.591,0.0313,0.000856,0.00225,0.729,0.356,136.001
18,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,193506,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1,-4.806,0.053,0.0361,0.0,0.0755,0.688,97.014
19,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,221979,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0.29,0.181,0.0,0.142,0.381,86.975
20,Flowers (Say My Name),2BzAGK3lEZAQz5cU0Ae1wd,158601,https://open.spotify.com/track/2BzAGK3lEZAQz5cU0Ae1wd,0.723,0.713,2,-6.879,0.241,0.495,0.0,0.513,0.803,143.052
21,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,145800,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005
22,Hurricane,6Hfu9sc7jvv6coyy2LlzBF,243187,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF,0.587,0.561,0,-6.569,0.146,0.0466,0.0,0.109,0.351,80.009
23,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,132832,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,1,-7.813,0.253,0.345,0.0,0.165,0.116,93.924
24,DANSA,63IaMjanvXp9c3f0Y7OImT,167500,https://open.spotify.com/track/63IaMjanvXp9c3f0Y7OImT,0.739,0.776,1,-6.318,0.181,0.187,2.37e-06,0.0718,0.774,96.048
25,Bad Man (Smooth Criminal),6RfhBNU1FPWTG7VESlfgOl,106000,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl,0.882,0.662,0,-6.382,0.242,0.0124,0.0,0.106,0.57,120.034
26,V12 (feat. Lil Uzi Vert),4ZUNw5tDBZTOqzPEVIYyOy,177835,https://open.spotify.com/track/4ZUNw5tDBZTOqzPEVIYyOy,0.705,0.681,4,-3.286,0.148,0.411,0.0,0.121,0.626,164.941
27,Shivers,6bQfNiqyCX7UaQSvVVGo4I,207853,https://open.spotify.com/track/6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02
28,Lose,750vtNtNiQVl80E4baoJjd,205653,https://open.spotify.com/track/750vtNtNiQVl80E4baoJjd,0.682,0.721,0,-4.633,0.0284,0.0341,0.0,0.381,0.248,101.067
29,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",7ACW7VpgoKmfM1sKo15UhX,279573,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX,0.748,0.713,6,-6.399,0.355,0.00496,0.0,0.245,0.482,75.591
30,Praise God,0WSEq9Ko4kFPt8yo3ICd6T,226652,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,0.168,0.00904,9.48e-05,0.258,0.212,118.029
31,don’t i (feat. Gunna),4t2HbYiaqvoPsbSrOB0LqS,213453,https://open.spotify.com/track/4t2HbYiaqvoPsbSrOB0LqS,0.773,0.566,11,-8.17,0.279,0.184,0.0,0.164,0.262,127.071
32,"Suga Suga, Best I Ever Had",6OusKupi0NhfAmT8Ab06Tg,245106,https://open.spotify.com/track/6OusKupi0NhfAmT8Ab06Tg,0.622,0.709,4,-5.925,0.196,0.479,0.0,0.364,0.611,81.09
33,Chosen (feat. Ty Dolla $ign),1dIWPXMX4kRHj6Dt2DStUQ,161684,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ,0.571,0.767,2,-5.16,0.287,0.336,0.0,0.0809,0.605,93.421
34,Peru,4hJhHbkhZFnxmWbAkZRoe0,187111,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0,0.956,0.417,7,-7.892,0.0926,0.572,0.00071,0.0782,0.714,108.015
35,Seduce (Feat. Capella Grey & Tamae),5irzewJoHob42Nq3P9kOYh,117446,https://open.spotify.com/track/5irzewJoHob42Nq3P9kOYh,0.825,0.366,1,-6.973,0.0614,0.624,1.87e-06,0.0575,0.75,94.032
36,Motley Crew,40uMIn2zJLAQhNXghRjBed,184213,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
37,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,212352,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087
38,Wid It,3DQRe4gHJOY4ufHBZr2jUF,181058,https://open.spotify.com/track/3DQRe4gHJOY4ufHBZr2jUF,0.768,0.72,11,-6.528,0.23,0.139,0.0,0.201,0.49,140.024
39,Young Shahrukh - Slowed,5ODOP1eIQKjtaFBYFSLWaG,185074,https://open.spotify.com/track/5ODOP1eIQKjtaFBYFSLWaG,0.813,0.413,1,-14.712,0.184,0.0478,2.25e-06,0.36,0.416,82.66
40,7 Locas - Original Dembow Version,64KeqeAfl79e9Rje8X2Hse,195920,https://open.spotify.com/track/64KeqeAfl79e9Rje8X2Hse,0.854,0.881,9,-3.613,0.0711,0.0898,2.13e-05,0.0926,0.828,141.961
41,E-ER (feat. Lil Yachty),16DlYa2WkYVY9Pdvcax0lX,163384,https://open.spotify.com/track/16DlYa2WkYVY9Pdvcax0lX,0.952,0.29,8,-11.459,0.428,0.074,0.0,0.107,0.394,130.083
42,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,177000,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
43,Plain Jane,4dVpf9jZjcORqGTLUaeYj9,173600,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,11,-5.482,0.275,0.0651,0.0,0.087,0.52,170.142
44,Enjoy Yourself (feat. Karol G),3NWrHCwvyII4fTx05PN3IO,197938,https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO,0.764,0.676,11,-6.761,0.0927,0.389,0.0,0.215,0.461,97.02
45,Black Beatles,6fujklziTHa8uoM5OQSfIo,291893,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.794,0.632,0,-6.163,0.0649,0.142,0.0,0.128,0.355,145.926
46,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,177184,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,0.886,0.427,6,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034
47,The Spins,51pshtuYkgUQnt5huMPbKL,195873,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0.0377,0.0135,0.0,0.0785,0.55,127.007
48,Daredevil,5Nakyq7fHFlhxkMfNqG4Fv,135336,https://open.spotify.com/track/5Nakyq7fHFlhxkMfNqG4Fv,0.815,0.514,11,-6.273,0.0499,0.00541,0.000761,0.111,0.565,127.964
