,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,ledge,4qahEWQ9T4MlTFnDqbWtQU,156038,https://open.spotify.com/track/4qahEWQ9T4MlTFnDqbWtQU,0.856,0.467,0,-6.553,0.0442,0.375,0.0,0.22,0.759,99.989
1,Prairies (with mxmtoon),7w2iqaRxQgAGnkOdMhsiqu,191973,https://open.spotify.com/track/7w2iqaRxQgAGnkOdMhsiqu,0.717,0.7,1,-5.843,0.0382,0.189,0.0,0.374,0.568,103.517
2,Outta Your League,0AlQL0hBWA1yTodHv30eYn,165762,https://open.spotify.com/track/0AlQL0hBWA1yTodHv30eYn,0.87,0.345,0,-9.425,0.0566,0.56,5.92e-05,0.1,0.795,118.029
3,lead me on,45HHTHXv7gQ5q2r89ui2Fy,127802,https://open.spotify.com/track/45HHTHXv7gQ5q2r89ui2Fy,0.787,0.478,5,-8.761,0.092,0.566,0.0,0.147,0.649,79.029
4,the idea,6VN3dKYTClhY5eYQEnBehr,203972,https://open.spotify.com/track/6VN3dKYTClhY5eYQEnBehr,0.634,0.818,7,-3.576,0.0274,0.000823,0.0,0.166,0.485,109.03
5,ON TEN,1Hdh6lJUR1WZCiNPVWxLTA,137721,https://open.spotify.com/track/1Hdh6lJUR1WZCiNPVWxLTA,0.771,0.741,4,-5.59,0.0527,0.0554,0.0,0.31,0.712,162.037
6,Valley of Lies,3Bgl1xMI00capuTqUHBNUW,184093,https://open.spotify.com/track/3Bgl1xMI00capuTqUHBNUW,0.753,0.743,2,-5.024,0.0338,0.286,0.0,0.144,0.96,140.004
7,by your side,3x04ph0jWlk4EgxgQ42gdK,141956,https://open.spotify.com/track/3x04ph0jWlk4EgxgQ42gdK,0.694,0.573,9,-9.218,0.125,0.371,0.0,0.124,0.772,167.92
8,KIDS ON MOLLY,7pkpdj7AWQjujxxe38WF8f,163373,https://open.spotify.com/track/7pkpdj7AWQjujxxe38WF8f,0.572,0.674,0,-8.592,0.0805,0.0808,1.44e-06,0.175,0.487,166.09
9,Down Bad,6BxL2JcykvCLnsLzmbHRJr,130250,https://open.spotify.com/track/6BxL2JcykvCLnsLzmbHRJr,0.788,0.629,11,-5.312,0.0317,0.0503,0.0,0.502,0.63,120.032
10,Exhausted,6IirkWmtTPvDHg5J9IpxYS,145096,https://open.spotify.com/track/6IirkWmtTPvDHg5J9IpxYS,0.645,0.71,7,-5.094,0.07,0.38,0.00127,0.0916,0.126,165.959
11,attention,0Av7Ar6HYYeCKVYbDSQSbY,144149,https://open.spotify.com/track/0Av7Ar6HYYeCKVYbDSQSbY,0.861,0.394,10,-9.276,0.0465,0.502,0.0,0.229,0.912,125.036
12,Isabelle,1w9L6dvttZalWd8XqFYvSa,135000,https://open.spotify.com/track/1w9L6dvttZalWd8XqFYvSa,0.678,0.716,10,-4.403,0.0342,0.196,0.0,0.102,0.627,109.981
13,i think too much,6wFqLYmiXyGvprbWa4ogm8,202779,https://open.spotify.com/track/6wFqLYmiXyGvprbWa4ogm8,0.675,0.695,7,-7.859,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025
14,Met Too Young,2qiadkWrq9h1i34Ut7KeTh,173066,https://open.spotify.com/track/2qiadkWrq9h1i34Ut7KeTh,0.681,0.636,4,-7.125,0.099,0.478,0.000144,0.115,0.557,102.04
15,I Remember,6ddxSkfDxR8krMcheEmuzL,221889,https://open.spotify.com/track/6ddxSkfDxR8krMcheEmuzL,0.762,0.793,0,-5.495,0.225,0.308,0.0,0.315,0.511,84.079
16,Hopeless Romantic,1H7GjHUmLxp2NRSwDC3eso,179024,https://open.spotify.com/track/1H7GjHUmLxp2NRSwDC3eso,0.84,0.363,9,-10.444,0.0837,0.526,0.0,0.104,0.444,98.003
17,time limits,4VONhqGmUBlYmlBKQlyims,150093,https://open.spotify.com/track/4VONhqGmUBlYmlBKQlyims,0.826,0.449,8,-8.294,0.0709,0.555,0.0,0.219,0.962,84.012
18,new year,0uqc00wyYU4ikXuVFDaqux,135233,https://open.spotify.com/track/0uqc00wyYU4ikXuVFDaqux,0.836,0.387,6,-8.746,0.15,0.389,0.0,0.234,0.629,86.013
19,Bad Type,0w57Y6usGOz6jz99s6eXkO,190524,https://open.spotify.com/track/0w57Y6usGOz6jz99s6eXkO,0.746,0.422,8,-8.698,0.0556,0.136,0.0,0.166,0.765,144.053
20,summer&cigarettes,5PmtPTXrLqgqQfqngsUqZp,114427,https://open.spotify.com/track/5PmtPTXrLqgqQfqngsUqZp,0.834,0.402,5,-10.277,0.072,0.76,0.0,0.279,0.684,122.008
21,Loafers,0jcPxc7Fme2oYb2MfFkOy6,215394,https://open.spotify.com/track/0jcPxc7Fme2oYb2MfFkOy6,0.652,0.649,1,-9.143,0.335,0.544,0.0,0.118,0.557,100.465
22,notgonnalie,36ibjANovvUo60xwamxLt7,170156,https://open.spotify.com/track/36ibjANovvUo60xwamxLt7,0.609,0.5,0,-13.246,0.0874,0.00798,2.4e-05,0.105,0.703,128.127
23,Live Fast Die Numb,10omO03JNpJwhjo538gdNc,134498,https://open.spotify.com/track/10omO03JNpJwhjo538gdNc,0.648,0.692,1,-4.287,0.0456,0.00309,5.2e-06,0.0929,0.83,169.98
24,Never Is Enough,3DIRkZsEx7zFl6ow9qsyHz,134000,https://open.spotify.com/track/3DIRkZsEx7zFl6ow9qsyHz,0.733,0.54,5,-4.522,0.0288,0.38,0.0,0.0633,0.642,96.03
25,OLIVIA,2s14ypvd880AiEfZssEjaY,143587,https://open.spotify.com/track/2s14ypvd880AiEfZssEjaY,0.55,0.88,8,-4.659,0.0368,0.119,0.0,0.109,0.462,160.509
26,JENNI,5lZtXVDsSQaa43CfCuTx1F,101647,https://open.spotify.com/track/5lZtXVDsSQaa43CfCuTx1F,0.544,0.787,6,-4.13,0.041,0.0554,0.0,0.365,0.804,84.987
27,Victoria Justice,5r64v5lI7wzteBY84dBvOT,171833,https://open.spotify.com/track/5r64v5lI7wzteBY84dBvOT,0.674,0.494,3,-10.189,0.235,0.309,0.0,0.142,0.531,161.022
28,STROBE LIGHTS,5YSu5bnAHeB7pn43F9wdbm,153882,https://open.spotify.com/track/5YSu5bnAHeB7pn43F9wdbm,0.621,0.758,1,-5.804,0.0866,0.257,0.0,0.391,0.768,84.907
29,Miss You a Little (feat. lovelytheband),2tijppLc0gaWA2AfPDANvq,168180,https://open.spotify.com/track/2tijppLc0gaWA2AfPDANvq,0.636,0.886,0,-4.76,0.0433,0.347,0.0,0.171,0.589,140.888
30,OH WELL,2sfYIKz3J8eZkBdTh25KyK,174914,https://open.spotify.com/track/2sfYIKz3J8eZkBdTh25KyK,0.689,0.698,7,-4.594,0.131,0.249,0.0,0.293,0.645,167.922
31,Don’t Trip (with GAYLE),6mWCikZXHCCnEwkwyJ2L8G,147183,https://open.spotify.com/track/6mWCikZXHCCnEwkwyJ2L8G,0.522,0.743,10,-4.892,0.0741,0.00946,0.0,0.302,0.524,159.898
32,ur just horny,02gGfhPHk5NuN0mgbKpU4Y,178787,https://open.spotify.com/track/02gGfhPHk5NuN0mgbKpU4Y,0.529,0.897,1,-4.713,0.0726,0.221,0.0,0.0399,0.885,180.118
33,best friends,2ZQLEuaDw9rxJ5u5YR0KEw,142663,https://open.spotify.com/track/2ZQLEuaDw9rxJ5u5YR0KEw,0.932,0.462,5,-9.017,0.0964,0.514,0.0,0.14,0.829,116.045
34,Calling All Angels (with Quinn XCII),18ogPzQRSl9oUcYUS35g7D,184946,https://open.spotify.com/track/18ogPzQRSl9oUcYUS35g7D,0.893,0.391,7,-9.046,0.0512,0.234,0.0,0.138,0.358,91.035
35,Falling Slowly,20O2mCvJkmrZ5RNED9tbpu,119066,https://open.spotify.com/track/20O2mCvJkmrZ5RNED9tbpu,0.574,0.456,9,-9.067,0.0812,0.469,0.0,0.264,0.54,180.171
36,You Said,2k5rWMAz9RvFS3k3kk3cc5,135000,https://open.spotify.com/track/2k5rWMAz9RvFS3k3kk3cc5,0.726,0.481,0,-8.254,0.207,0.141,0.0,0.155,0.224,79.978
37,eighty-five,5JY5XNdyskEurS85nHeKr3,195220,https://open.spotify.com/track/5JY5XNdyskEurS85nHeKr3,0.787,0.539,4,-6.96,0.0378,0.235,0.0,0.21,0.677,114.99
