,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,New Slaves,4cAgkb0ifwn0FSHGXnr4F6,256093,https://open.spotify.com/track/4cAgkb0ifwn0FSHGXnr4F6,0.506,0.59,1,-4.322,0.076,0.165,1.09e-05,0.096,0.359,141.099
1,Can't Tell Me Nothing,0mEdbdeRFQwBhN4xfyIeUM,271600,https://open.spotify.com/track/0mEdbdeRFQwBhN4xfyIeUM,0.596,0.62,5,-6.133,0.039,0.0122,0.0,0.82,0.102,80.029
2,Dark Fantasy,7yNK27ZTpHew0c55VvIJgm,280786,https://open.spotify.com/track/7yNK27ZTpHew0c55VvIJgm,0.599,0.587,5,-5.919,0.0423,0.274,0.0,0.167,0.373,87.998
3,Famous,19a3JfW8BQwqHWUMbcqSx8,196040,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8,0.465,0.735,6,-3.715,0.117,0.0711,0.0,0.0975,0.409,173.935
4,Everything I Am,0NrtwAmRAdLxua31SzHvXr,227893,https://open.spotify.com/track/0NrtwAmRAdLxua31SzHvXr,0.631,0.623,8,-6.969,0.265,0.463,1.7e-06,0.151,0.765,80.23
5,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,237506,https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO,0.639,0.628,6,-7.578,0.0399,0.0381,0.0,0.386,0.43,90.482
6,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,135920,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,7,-4.113,0.0549,0.118,0.0,0.538,0.438,113.088
7,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,221226,https://open.spotify.com/track/4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7,-6.11,0.247,0.00865,5.21e-06,0.158,0.66,83.089
8,Spaceship,1ko2NuvWlQdxtNRc8QQzmT,324226,https://open.spotify.com/track/1ko2NuvWlQdxtNRc8QQzmT,0.507,0.753,5,-5.31,0.19,0.503,0.0,0.573,0.657,178.068
9,No More Parties In LA,0zLClc0emc6qUeV1p5nc99,374413,https://open.spotify.com/track/0zLClc0emc6qUeV1p5nc99,0.508,0.921,5,-1.644,0.303,0.246,0.0,0.221,0.681,93.058
10,I Wonder,7rbECVPkY5UODxoOUVKZnA,243440,https://open.spotify.com/track/7rbECVPkY5UODxoOUVKZnA,0.542,0.466,0,-8.665,0.0831,0.141,0.000445,0.125,0.124,191.385
11,Saint Pablo,1o0kWPueYo94LIjPYOE5Nf,372113,https://open.spotify.com/track/1o0kWPueYo94LIjPYOE5Nf,0.461,0.772,2,-3.98,0.375,0.282,0.0,0.178,0.414,167.018
12,Gorgeous,23SZWX2IaDnxmhFsSLvkG2,357653,https://open.spotify.com/track/23SZWX2IaDnxmhFsSLvkG2,0.598,0.713,6,-3.625,0.0326,0.0207,0.000175,0.431,0.118,91.964
13,Homecoming,4iz9lGMjU1lXS51oPmUmTe,203493,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe,0.667,0.747,1,-7.059,0.189,0.337,0.0,0.115,0.918,86.917
14,POWER,2gZUPNdnz5Y45eiGxpHGSc,292093,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0.113,0.0161,0.0,0.744,0.576,153.993
15,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,271386,https://open.spotify.com/track/7vgTNTaEz3CsBZ1N4YQalM,0.573,0.545,7,-4.247,0.0288,0.0969,0.0,0.329,0.297,83.378
16,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,223506,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0.484,0.149,0.0,0.139,0.434,91.03
17,Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,351946,https://open.spotify.com/track/1UGD3lW3tDmgZfAVDh6w7r,0.435,0.76,8,-4.935,0.0721,0.0175,0.0,0.158,0.206,80.082
18,Runaway,3DK6m7It6Pw857FcQftMds,547733,https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds,0.374,0.568,1,-3.825,0.109,0.219,0.00219,0.513,0.111,84.733
19,Bound 2,3sNVsP50132BTNlImLx70i,229146,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i,0.367,0.665,1,-2.821,0.0465,0.145,0.0,0.113,0.31,148.913
