,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,1,Grindin',3m6HMeFX6GIlGPMBcLEN6t,277293,https://open.spotify.com/track/3m6HMeFX6GIlGPMBcLEN6t,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5BfKKSmpGmj2moMNlaWeJK'}, 'href': 'https://api.spotify.com/v1/artists/5BfKKSmpGmj2moMNlaWeJK', 'id': '5BfKKSmpGmj2moMNlaWeJK', 'name': 'Marty', 'type': 'artist', 'uri': 'spotify:artist:5BfKKSmpGmj2moMNlaWeJK'}]",2022-10-04T04:43:28Z,0.677,0.732,1,-6.86,0.171,0.194,0.0,0.0907,0.32,110.085
7,7,Leave Me Alone,3EtyEzMpfKSaoVhPunvbRV,308651,https://open.spotify.com/track/3EtyEzMpfKSaoVhPunvbRV,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'}, 'href': 'https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz', 'id': '6fOMl44jA4Sp5b9PpYCkzz', 'name': 'NF', 'type': 'artist', 'uri': 'spotify:artist:6fOMl44jA4Sp5b9PpYCkzz'}]",2022-10-04T04:06:08Z,0.722,0.741,1,-3.72,0.19,0.249,0.0,0.151,0.46,162.11
33,33,i think too much,6wFqLYmiXyGvprbWa4ogm8,202779,https://open.spotify.com/track/6wFqLYmiXyGvprbWa4ogm8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7naAJDAh7AZnf18YYfQruM'}, 'href': 'https://api.spotify.com/v1/artists/7naAJDAh7AZnf18YYfQruM', 'id': '7naAJDAh7AZnf18YYfQruM', 'name': 'Christian French', 'type': 'artist', 'uri': 'spotify:artist:7naAJDAh7AZnf18YYfQruM'}]",2022-09-25T23:50:48Z,0.675,0.695,7,-7.859,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025
40,40,Cigarettes On Patios (with 24kGoldn) - Remix,2K2nfIHU02JUJtzLvUx0ju,206313,https://open.spotify.com/track/2K2nfIHU02JUJtzLvUx0ju,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/07Asx51VtMw5kbNXKrpZlq'}, 'href': 'https://api.spotify.com/v1/artists/07Asx51VtMw5kbNXKrpZlq', 'id': '07Asx51VtMw5kbNXKrpZlq', 'name': 'BabyJake', 'type': 'artist', 'uri': 'spotify:artist:07Asx51VtMw5kbNXKrpZlq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z'}, 'href': 'https://api.spotify.com/v1/artists/6fWVd57NKTalqvmjRd2t8Z', 'id': '6fWVd57NKTalqvmjRd2t8Z', 'name': '24kGoldn', 'type': 'artist', 'uri': 'spotify:artist:6fWVd57NKTalqvmjRd2t8Z'}]",2022-09-16T19:36:38Z,0.744,0.728,4,-5.738,0.0541,0.275,0.0,0.131,0.543,139.914
42,42,eighty-five,5JY5XNdyskEurS85nHeKr3,195220,https://open.spotify.com/track/5JY5XNdyskEurS85nHeKr3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jeXY6LJU0ZiKhXoXa9rRw'}, 'href': 'https://api.spotify.com/v1/artists/3jeXY6LJU0ZiKhXoXa9rRw', 'id': '3jeXY6LJU0ZiKhXoXa9rRw', 'name': 'PmBata', 'type': 'artist', 'uri': 'spotify:artist:3jeXY6LJU0ZiKhXoXa9rRw'}]",2022-09-16T19:25:32Z,0.787,0.539,4,-6.96,0.0378,0.235,0.0,0.21,0.677,114.99
52,52,Fuck Love,3FcsP46yuD5OhisPkp0jFT,138212,https://open.spotify.com/track/3FcsP46yuD5OhisPkp0jFT,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Yr4BBpK2dkCp2UsrJ9LZN'}, 'href': 'https://api.spotify.com/v1/artists/0Yr4BBpK2dkCp2UsrJ9LZN', 'id': '0Yr4BBpK2dkCp2UsrJ9LZN', 'name': 'Bankrol Hayden', 'type': 'artist', 'uri': 'spotify:artist:0Yr4BBpK2dkCp2UsrJ9LZN'}]",2022-09-16T18:49:35Z,0.84,0.537,7,-6.658,0.0426,0.207,1.32e-06,0.0956,0.775,103.983
67,67,Motley Crew,40uMIn2zJLAQhNXghRjBed,184213,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",2022-09-02T16:42:41Z,0.797,0.631,3,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
90,90,2 birds,7kjjpSYKszLz8TwQXEnqlx,183960,https://open.spotify.com/track/7kjjpSYKszLz8TwQXEnqlx,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5G9kmDLg3OeUyj8KVBLzbu'}, 'href': 'https://api.spotify.com/v1/artists/5G9kmDLg3OeUyj8KVBLzbu', 'id': '5G9kmDLg3OeUyj8KVBLzbu', 'name': 'mike.', 'type': 'artist', 'uri': 'spotify:artist:5G9kmDLg3OeUyj8KVBLzbu'}]",2022-08-15T21:17:39Z,0.807,0.559,7,-6.396,0.0844,0.0607,4.44e-06,0.0766,0.289,100.97
94,94,NO MERCY,4YHTQ2v1wYvZa29rhlT1n7,139970,https://open.spotify.com/track/4YHTQ2v1wYvZa29rhlT1n7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-08-15T20:53:30Z,0.696,0.696,8,-7.214,0.269,0.054,0.0,0.2,0.414,146.709
97,97,I Literally Never Think About You,2HMxow43AQQGcsMoi0YEcq,175590,https://open.spotify.com/track/2HMxow43AQQGcsMoi0YEcq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4qBgvVog0wzW75IQ48mU7v'}, 'href': 'https://api.spotify.com/v1/artists/4qBgvVog0wzW75IQ48mU7v', 'id': '4qBgvVog0wzW75IQ48mU7v', 'name': 'KYLE', 'type': 'artist', 'uri': 'spotify:artist:4qBgvVog0wzW75IQ48mU7v'}]",2022-08-09T14:33:41Z,0.847,0.582,6,-8.943,0.057,0.0426,5.41e-05,0.0618,0.493,124.96
