,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,"Everyday We Lit (feat. PnB Rock, Lil Yachty & Wiz Khalifa) - Remix",2KtGuSoEszAKKjF7Yovhcg,236923,https://open.spotify.com/track/2KtGuSoEszAKKjF7Yovhcg,0.746,0.653,7,-4.691,0.0574,0.13,0.0,0.17,0.607,155.947
1,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,153800,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0.196,0.188,0.0,0.122,0.47,153.075
2,Patty Cake,0bXFIF7iL17TYLyx8JHziM,198109,https://open.spotify.com/track/0bXFIF7iL17TYLyx8JHziM,0.806,0.77,1,-6.464,0.19,0.0252,0.0,0.0645,0.406,152.094
3,Playinwitme (Remix) [feat. Logic and Kehlani],4g5IWycTaExrzYZFynV9vs,217545,https://open.spotify.com/track/4g5IWycTaExrzYZFynV9vs,0.683,0.593,4,-5.796,0.191,0.323,0.0,0.161,0.672,156.941
4,Cameras,0Swx0M6iLt0Lr5nN33YCEB,269280,https://open.spotify.com/track/0Swx0M6iLt0Lr5nN33YCEB,0.75,0.737,8,-5.815,0.0279,0.225,0.0,0.0661,0.571,95.012
5,Welcome,5EHHMikaYxhe7N6h0gBvkn,213320,https://open.spotify.com/track/5EHHMikaYxhe7N6h0gBvkn,0.679,0.784,2,-5.194,0.0393,0.0536,4.41e-06,0.101,0.431,115.005
6,Fame Is for Assholes (feat. Chiddy),3D0b0441vvXFJvgbaiDyp3,196456,https://open.spotify.com/track/3D0b0441vvXFJvgbaiDyp3,0.817,0.709,9,-5.682,0.0541,0.0141,0.0,0.0756,0.647,114.012
7,Come Closer (feat. Queen Naija),3UhRsQVrELOATEiY7E9X2T,156511,https://open.spotify.com/track/3UhRsQVrELOATEiY7E9X2T,0.741,0.556,7,-6.647,0.0947,0.22,0.0,0.0981,0.616,140.056
8,Moon Man,43trOLCbzlhcKrzbJF0bGk,120659,https://open.spotify.com/track/43trOLCbzlhcKrzbJF0bGk,0.87,0.619,4,-7.209,0.0484,0.113,0.0,0.163,0.457,113.971
9,Lust,7oJrVhiTPZGBXWPwhxjy9S,156000,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,9,-5.641,0.166,0.138,0.0,0.114,0.519,160.084
10,Strings,2VdWzhJDjWaELCEhwyO8Q4,194000,https://open.spotify.com/track/2VdWzhJDjWaELCEhwyO8Q4,0.797,0.566,1,-6.654,0.042,0.128,0.0,0.114,0.392,119.937
11,FML,6lruHh1jF7ezgbLv72xYmf,223000,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,-5.95,0.0934,0.113,0.0,0.106,0.616,100.087
12,Bounce Out With That,5gQcxYXqnofyocKgEbGYKt,99108,https://open.spotify.com/track/5gQcxYXqnofyocKgEbGYKt,0.864,0.664,8,-7.315,0.104,0.0476,0.0,0.0863,0.381,94.932
13,Gassed Up,6JjEVlMkfHWMeYavkEYzNO,193911,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO,0.798,0.568,5,-9.072,0.135,0.0213,0.0,0.0586,0.45,148.88
14,Diva (feat. Lil Tecca),7gVwgc8b3XnO87TpmXXFA5,172004,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5,0.686,0.703,6,-6.141,0.0606,0.00728,0.0,0.0946,0.457,144.902
15,Needed,2uNaIbNYzduLKLYyUBPmU4,121666,https://open.spotify.com/track/2uNaIbNYzduLKLYyUBPmU4,0.665,0.52,9,-6.823,0.0325,0.234,0.0,0.112,0.456,144.153
16,No I in Team,3ntcm3V9ByPKN6cstxXh80,181714,https://open.spotify.com/track/3ntcm3V9ByPKN6cstxXh80,0.74,0.592,1,-5.003,0.0879,0.0173,0.0,0.276,0.379,140.093
17,Problems,2gSG1S47vbdbyZ6aeJB4Dv,144000,https://open.spotify.com/track/2gSG1S47vbdbyZ6aeJB4Dv,0.774,0.607,2,-5.076,0.0481,0.121,0.0,0.0895,0.732,119.956
18,GAMES ON YOUR PHONE,2EsyJN3AvC3zBlkQpb119M,150933,https://open.spotify.com/track/2EsyJN3AvC3zBlkQpb119M,0.683,0.607,5,-5.62,0.0601,0.15,0.0,0.147,0.496,152.945
19,Venetia,3BYIzNZ3t9lRQCACXSMLrT,188800,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT,0.775,0.757,9,-4.139,0.175,0.162,0.0,0.148,0.562,142.933
20,Havin My Way (feat. Lil Durk),0oH0OIeKJSAT5bdFkbz20A,211653,https://open.spotify.com/track/0oH0OIeKJSAT5bdFkbz20A,0.802,0.737,6,-4.862,0.0757,0.275,0.0,0.113,0.712,127.013
21,Zone,0xl5SmrxNAmwc92Ihv9e5s,199714,https://open.spotify.com/track/0xl5SmrxNAmwc92Ihv9e5s,0.722,0.551,2,-6.852,0.0397,0.25,6.39e-05,0.162,0.531,139.983
22,Dead Eyes,7BdlyzVvOqmwPH9dYtZfsx,219428,https://open.spotify.com/track/7BdlyzVvOqmwPH9dYtZfsx,0.719,0.651,7,-5.872,0.0274,0.127,0.0,0.0762,0.289,104.956
23,Pretty Girls,3fKdTr6Uv8HTb92Ih3QWxa,133608,https://open.spotify.com/track/3fKdTr6Uv8HTb92Ih3QWxa,0.732,0.511,6,-6.779,0.0541,0.276,0.0,0.0916,0.62,96.946
24,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,154767,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn,0.868,0.55,6,-6.417,0.226,0.183,0.0,0.109,0.464,117.943
25,"Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)",64YAQSR4jfmtHeJudcQix2,186459,https://open.spotify.com/track/64YAQSR4jfmtHeJudcQix2,0.793,0.531,7,-8.777,0.0967,0.215,0.0,0.105,0.591,138.496
26,Lemonade,02kDW379Yfd5PzW5A6vuGt,195428,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,0.799,0.66,1,-6.153,0.079,0.256,0.0,0.111,0.471,140.04
27,Sofia,4PEqbNYd7kQPSOYz8kTwYJ,158700,https://open.spotify.com/track/4PEqbNYd7kQPSOYz8kTwYJ,0.869,0.639,1,-5.324,0.0874,0.0493,0.0,0.111,0.365,99.958
28,SO DONE,3qgPpwtuRu5oP8EtFSj8HE,126521,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE,0.719,0.598,9,-6.254,0.077,0.232,0.0,0.115,0.303,142.592
29,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0DYNL4xbYWgNzppUamtyR4,144860,https://open.spotify.com/track/0DYNL4xbYWgNzppUamtyR4,0.721,0.632,5,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057
30,Holding On,6CN7FuZ7o1xle9TNxApGeQ,126443,https://open.spotify.com/track/6CN7FuZ7o1xle9TNxApGeQ,0.706,0.76,8,-4.702,0.0369,0.0599,1.46e-06,0.202,0.564,95.499
31,time is running out,5m1e17PlqeePSDvwICyKlZ,97215,https://open.spotify.com/track/5m1e17PlqeePSDvwICyKlZ,0.827,0.464,5,-7.513,0.183,0.213,0.0,0.128,0.705,157.917
