,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
15,15,Maniac,20ZUe6IViJpDMMvJlugC9i,137600,https://open.spotify.com/track/20ZUe6IViJpDMMvJlugC9i,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7kiCkMJHLchcrQByu2yHDk'}, 'href': 'https://api.spotify.com/v1/artists/7kiCkMJHLchcrQByu2yHDk', 'id': '7kiCkMJHLchcrQByu2yHDk', 'name': 'Anthony Ortiz', 'type': 'artist', 'uri': 'spotify:artist:7kiCkMJHLchcrQByu2yHDk'}]",2022-09-28T22:29:37Z,0.531,0.893,1,-4.736,0.0426,0.000208,0.0,0.325,0.809,150.027
33,33,i think too much,6wFqLYmiXyGvprbWa4ogm8,202779,https://open.spotify.com/track/6wFqLYmiXyGvprbWa4ogm8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7naAJDAh7AZnf18YYfQruM'}, 'href': 'https://api.spotify.com/v1/artists/7naAJDAh7AZnf18YYfQruM', 'id': '7naAJDAh7AZnf18YYfQruM', 'name': 'Christian French', 'type': 'artist', 'uri': 'spotify:artist:7naAJDAh7AZnf18YYfQruM'}]",2022-09-25T23:50:48Z,0.675,0.695,7,-7.859,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025
39,39,serotonin highs (feat. Allen Haley),20GbyJrUmAAZIt2x180YUF,154787,https://open.spotify.com/track/20GbyJrUmAAZIt2x180YUF,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3mMogqf2JyBUQZxFZlC79w'}, 'href': 'https://api.spotify.com/v1/artists/3mMogqf2JyBUQZxFZlC79w', 'id': '3mMogqf2JyBUQZxFZlC79w', 'name': 'Arden Jones', 'type': 'artist', 'uri': 'spotify:artist:3mMogqf2JyBUQZxFZlC79w'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0A23HecVtZf5hwBgVi0uYb'}, 'href': 'https://api.spotify.com/v1/artists/0A23HecVtZf5hwBgVi0uYb', 'id': '0A23HecVtZf5hwBgVi0uYb', 'name': 'Allen Haley', 'type': 'artist', 'uri': 'spotify:artist:0A23HecVtZf5hwBgVi0uYb'}]",2022-09-16T19:40:50Z,0.724,0.855,1,-3.001,0.0393,0.00705,0.0,0.095,0.476,94.006
62,62,OLIVIA,2s14ypvd880AiEfZssEjaY,143587,https://open.spotify.com/track/2s14ypvd880AiEfZssEjaY,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fAEWMlRd4yiJBT2usaqqc'}, 'href': 'https://api.spotify.com/v1/artists/0fAEWMlRd4yiJBT2usaqqc', 'id': '0fAEWMlRd4yiJBT2usaqqc', 'name': 'Softwilly', 'type': 'artist', 'uri': 'spotify:artist:0fAEWMlRd4yiJBT2usaqqc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7j8MiVdcaaVpUvhkXWwYDT'}, 'href': 'https://api.spotify.com/v1/artists/7j8MiVdcaaVpUvhkXWwYDT', 'id': '7j8MiVdcaaVpUvhkXWwYDT', 'name': 'Yung Kage', 'type': 'artist', 'uri': 'spotify:artist:7j8MiVdcaaVpUvhkXWwYDT'}]",2022-09-14T02:02:38Z,0.55,0.88,8,-4.659,0.0368,0.119,0.0,0.109,0.462,160.509
66,66,Story Of My Life (feat. Trippie Redd) - Heavy Edit,7vBwenmGPD2h0DSbljoZym,240608,https://open.spotify.com/track/7vBwenmGPD2h0DSbljoZym,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/45eNHdiiabvmbp4erw26rg'}, 'href': 'https://api.spotify.com/v1/artists/45eNHdiiabvmbp4erw26rg', 'id': '45eNHdiiabvmbp4erw26rg', 'name': 'ILLENIUM', 'type': 'artist', 'uri': 'spotify:artist:45eNHdiiabvmbp4erw26rg'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4iDroUFo89Y7YBsdDTBmTD'}, 'href': 'https://api.spotify.com/v1/artists/4iDroUFo89Y7YBsdDTBmTD', 'id': '4iDroUFo89Y7YBsdDTBmTD', 'name': 'Sueco', 'type': 'artist', 'uri': 'spotify:artist:4iDroUFo89Y7YBsdDTBmTD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax'}, 'href': 'https://api.spotify.com/v1/artists/6Xgp2XMz1fhVYe7i6yNAax', 'id': '6Xgp2XMz1fhVYe7i6yNAax', 'name': 'Trippie Redd', 'type': 'artist', 'uri': 'spotify:artist:6Xgp2XMz1fhVYe7i6yNAax'}]",2022-09-02T16:44:28Z,0.537,0.884,0,-4.088,0.0428,0.0121,1.71e-06,0.113,0.397,97.024
71,71,dead inside,2Oo397nWzelAKMQBBIL8YI,182792,https://open.spotify.com/track/2Oo397nWzelAKMQBBIL8YI,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM'}, 'href': 'https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM', 'id': '2cFrymmkijnjDg9SS92EPM', 'name': 'blackbear', 'type': 'artist', 'uri': 'spotify:artist:2cFrymmkijnjDg9SS92EPM'}]",2022-08-29T13:26:55Z,0.558,0.925,8,-3.428,0.0423,0.00263,0.0,0.188,0.829,148.042
78,78,Easy Lover (feat. Big Sean),3nwd2gUT7l10HDUAOKXrhs,215937,https://open.spotify.com/track/3nwd2gUT7l10HDUAOKXrhs,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'}, 'href': 'https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh', 'id': '0c173mlxpT3dSFRgMO8XPh', 'name': 'Big Sean', 'type': 'artist', 'uri': 'spotify:artist:0c173mlxpT3dSFRgMO8XPh'}]",2022-08-20T11:48:32Z,0.675,0.817,5,-3.789,0.0497,0.00711,0.0,0.0839,0.446,105.964
80,80,Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA,211814,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}]",2022-08-20T10:02:57Z,0.535,0.791,0,-5.55,0.0327,0.00096,0.000155,0.0788,0.5,142.981
107,107,Flaws And Sins,0flSGzqHO12p9fU9kqaHGE,218348,https://open.spotify.com/track/0flSGzqHO12p9fU9kqaHGE,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",2022-07-28T14:28:54Z,0.709,0.662,8,-4.55,0.0767,0.00966,0.0,0.108,0.439,150.047
136,136,Good Boy Gone Bad,1HsSIPLTQT354yJcQGfEY3,191038,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB'}, 'href': 'https://api.spotify.com/v1/artists/0ghlgldX5Dd6720Q3qFyQB', 'id': '0ghlgldX5Dd6720Q3qFyQB', 'name': 'TOMORROW X TOGETHER', 'type': 'artist', 'uri': 'spotify:artist:0ghlgldX5Dd6720Q3qFyQB'}]",2022-07-23T04:05:31Z,0.475,0.695,1,-5.919,0.102,0.0159,0.0,0.125,0.552,100.009
