,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Welcome,5EHHMikaYxhe7N6h0gBvkn,213320,https://open.spotify.com/track/5EHHMikaYxhe7N6h0gBvkn,0.679,0.784,2,-5.194,0.0393,0.0536,4.41e-06,0.101,0.431,115.005
1,Fuck You,4ycLiPVzE5KamivXrAzGFG,222933,https://open.spotify.com/track/4ycLiPVzE5KamivXrAzGFG,0.69,0.834,0,-5.79,0.0566,0.129,0.0,0.136,0.738,127.43
2,CAPO,1KjQPDJQCUuqDj3AmfSBCa,192200,https://open.spotify.com/track/1KjQPDJQCUuqDj3AmfSBCa,0.617,0.953,2,-4.162,0.0693,0.119,0.0,0.331,0.594,154.964
3,what is real,61StVXD7XDEeVBBdnvmFfM,134819,https://open.spotify.com/track/61StVXD7XDEeVBBdnvmFfM,0.626,0.769,1,-4.48,0.0343,0.224,0.0,0.116,0.446,93.483
4,Diva (feat. Lil Tecca),7gVwgc8b3XnO87TpmXXFA5,172004,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5,0.686,0.703,6,-6.141,0.0606,0.00728,0.0,0.0946,0.457,144.902
5,A LOT TO LOSE,7yL4wdksHlDnmKvofxMTBE,180746,https://open.spotify.com/track/7yL4wdksHlDnmKvofxMTBE,0.607,0.766,1,-5.65,0.0475,0.193,0.0,0.131,0.425,160.008
6,No Interruption,2yJVeT8cP1zstJxRP7Nlv8,215240,https://open.spotify.com/track/2yJVeT8cP1zstJxRP7Nlv8,0.497,0.706,1,-6.455,0.0667,0.227,0.0,0.224,0.55,103.0
7,Come & Go (with Marshmello),7y7w4tl4MaRC2UMEj1mPtr,205484,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr,0.625,0.814,0,-5.181,0.0657,0.0172,0.0,0.158,0.535,144.991
8,queen of broken hearts,1YaLBadQjS701ZLZRGjPMX,171171,https://open.spotify.com/track/1YaLBadQjS701ZLZRGjPMX,0.716,0.711,0,-6.098,0.0769,0.00644,0.0,0.0783,0.827,97.016
9,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,140525,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989
10,Holding On,6CN7FuZ7o1xle9TNxApGeQ,126443,https://open.spotify.com/track/6CN7FuZ7o1xle9TNxApGeQ,0.706,0.76,8,-4.702,0.0369,0.0599,1.46e-06,0.202,0.564,95.499
11,Coco (feat. DaBaby),2V6pjeOCuPBVlatcWTXUtP,142000,https://open.spotify.com/track/2V6pjeOCuPBVlatcWTXUtP,0.692,0.774,7,-4.385,0.0872,0.146,0.0,0.155,0.533,98.066
12,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,210746,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,8,-6.474,0.0707,0.0891,9.7e-05,0.119,0.758,93.372
13,NIGHTRIDER,72PFP54TZ9Tpj9dYQcb46D,156367,https://open.spotify.com/track/72PFP54TZ9Tpj9dYQcb46D,0.66,0.755,0,-4.501,0.0469,0.0876,0.0,0.102,0.862,145.948
14,Believe Me (feat. Bobo & Styles of Beyond),5IHmCv6LwS3JxQYEV9rst9,222960,https://open.spotify.com/track/5IHmCv6LwS3JxQYEV9rst9,0.702,0.978,8,-3.406,0.0473,0.0649,0.000444,0.311,0.668,110.0
15,shots in the dark (with Trippie Redd),03m2VS3eYqKwbHvEykTYl5,188583,https://open.spotify.com/track/03m2VS3eYqKwbHvEykTYl5,0.58,0.651,6,-5.537,0.0459,0.0275,0.0,0.102,0.562,157.888
16,The Great Escape,56Tl3UgyZTqfZtvFNS31wm,206520,https://open.spotify.com/track/56Tl3UgyZTqfZtvFNS31wm,0.423,0.94,1,-4.012,0.0635,0.00166,0.0,0.178,0.505,149.934
17,Flaws And Sins,2BSbCCbaSCzkOEZa6N5901,218348,https://open.spotify.com/track/2BSbCCbaSCzkOEZa6N5901,0.709,0.662,8,-4.55,0.0766,0.00966,0.0,0.108,0.439,150.046
18,apricot skies (feat. Bankrol Hayden),21FrSEBEZQX4RtRZv2dHlt,208101,https://open.spotify.com/track/21FrSEBEZQX4RtRZv2dHlt,0.639,0.776,7,-5.193,0.0736,0.0664,0.0,0.178,0.765,105.986
19,Outerspace,2ChOMSamIbDfZ4lA9yAiRA,174084,https://open.spotify.com/track/2ChOMSamIbDfZ4lA9yAiRA,0.586,0.861,0,-3.089,0.0617,0.00987,7.17e-05,0.128,0.478,142.16
20,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,160656,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
21,West Coast (feat. Quinn XCII),4fCE1SCDulouoac9Q8XroU,150819,https://open.spotify.com/track/4fCE1SCDulouoac9Q8XroU,0.714,0.798,5,-4.239,0.0612,0.00248,0.000678,0.103,0.659,119.017
22,Sleep While I Drive (feat. Ashe),1g6v42WOMBWC8V9UpwciiH,204933,https://open.spotify.com/track/1g6v42WOMBWC8V9UpwciiH,0.716,0.768,5,-6.46,0.04,0.00207,7.28e-06,0.116,0.796,127.927
23,Sunshine,5r43qanLhUCdBj8HN3fa6B,163854,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,0.034,0.137,0.0,0.28,0.774,140.069
24,Scars (feat. Yung Pinch),5vYFytw8LxagF6WbpK5imG,196728,https://open.spotify.com/track/5vYFytw8LxagF6WbpK5imG,0.705,0.809,5,-4.38,0.0772,0.0667,0.0,0.122,0.578,150.076
25,No Chill (feat. Lil Xxel),5oh6lXsQ3mhw5PvcsJqvXg,167222,https://open.spotify.com/track/5oh6lXsQ3mhw5PvcsJqvXg,0.712,0.748,7,-4.866,0.0283,0.0143,0.0,0.203,0.845,122.22
26,Little Do You Know,5oByBWOcsIYOxitDER7JRn,167428,https://open.spotify.com/track/5oByBWOcsIYOxitDER7JRn,0.573,0.694,1,-4.456,0.042,0.13,0.0,0.0917,0.445,105.085
27,Payback (feat. Icona Pop),7KoFHvEScguiEnD06xYtSt,203411,https://open.spotify.com/track/7KoFHvEScguiEnD06xYtSt,0.672,0.8,7,-4.919,0.0372,0.113,0.000302,0.132,0.8,118.013
28,Reforget (feat. Violet Days),6pQ5OouO6NwU7gjM8kTJvt,208917,https://open.spotify.com/track/6pQ5OouO6NwU7gjM8kTJvt,0.698,0.837,8,-2.103,0.047,0.0942,1.3e-06,0.123,0.461,96.963
29,Paralyzed,5svL1PkWw8hPEAOdTNLexy,163260,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,0.588,0.856,0,-5.288,0.0648,0.00128,2.78e-06,0.109,0.359,150.008
30,Under Control (feat. Hurts),352zfYbDFG8sxkmOAhVeuj,184373,https://open.spotify.com/track/352zfYbDFG8sxkmOAhVeuj,0.55,0.919,8,-3.431,0.0788,0.137,0.00118,0.0886,0.51,126.059
