id,progress_ms,context,playlist_uri,time
0w57Y6usGOz6jz99s6eXkO,96317,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665114573.9209344
32FMAbZAzs3D70UuvnN6y4,76349,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665114649.513377
6MjNilJCVKJq0LfFvo5jWJ,104590,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665114753.882488
7wIcRhedBpZGpLf9PGKUEh,172849,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665114926.5192156
2qiadkWrq9h1i34Ut7KeTh,86148,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115012.1476629
0AlQL0hBWA1yTodHv30eYn,165762,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115177.5460622
6bVFrhyMHTWzRe5v5RTnSA,156188,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115334.757098
5JY5XNdyskEurS85nHeKr3,195220,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115529.7194593
5lZtXVDsSQaa43CfCuTx1F,101647,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115631.6640089
3MmCFghNjzZMn3HKqbVizn,33014,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115664.045676
5r64v5lI7wzteBY84dBvOT,171744,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665115835.305017
24ovEYWV3PjlLOSsmNEWQv,243813,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116078.9715214
4aPzU7jCuoBibw6zGuzRdq,138551,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116217.6414082
5cSg8SdClubjZ32WrKwzAW,162261,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116379.0576355
0uqc00wyYU4ikXuVFDaqux,135233,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116514.802185
0Av7Ar6HYYeCKVYbDSQSbY,77406,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116591.7971299
2MyF6gLfTUve0eXR9rWbcI,143797,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116734.8081832
2mzrBSA0RI0VOWwZxzHGnv,182000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665116916.5351064
6ddxSkfDxR8krMcheEmuzL,106977,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665122709.2957642
6M1nfYPKy7DRk3IrhFVViQ,181660,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665123797.7287424
